	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034901_Ogataea_methylivora
10	OG0000010	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-flattened_line_116-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-flattened_line_116-processed-gene-0.84&CDS=1-2127
11	OG0000011	YOR274W, YPR022C	augustus_masked-flattened_line_2-processed-gene-4.20-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.20&CDS=1-3972, genemark-flattened_line_56-processed-gene-0.168-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.168&CDS=1-2934, maker-flattened_line_0-augustus-gene-0.0-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-0.0&CDS=1-2871, maker-flattened_line_0-augustus-gene-11.243-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-11.243&CDS=1-2844
12	OG0000012		augustus_masked-flattened_line_42-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.38&CDS=1-1788, genemark-flattened_line_128-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_128-processed-gene-0.27&CDS=1-2493, genemark-flattened_line_147-processed-gene-0.3-mRNA-1_1&gene=genemark-flattened_line_147-processed-gene-0.3&CDS=1-1209, genemark-flattened_line_38-processed-gene-1.105-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-1.105&CDS=1-1536, genemark-flattened_line_58-processed-gene-0.158-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.158&CDS=1-2043, snap_masked-flattened_line_30-processed-gene-1.50-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.50&CDS=1-990
13	OG0000013	YBL017C, YIL173W, YJL222W, YNR065C	genemark-flattened_line_14-processed-gene-0.37-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-0.37&CDS=1-4743
14	OG0000014	YBR297W, YFL052W, YGR288W, YPR196W	genemark-flattened_line_6-processed-gene-1.54-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.54&CDS=1-1779
15	OG0000015	YBR298C, YDL247W, YGR289C, YJR160C	genemark-flattened_line_4-processed-gene-3.100-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.100&CDS=1-1665
16	OG0000016	YCL047C, YDR519W	maker-flattened_line_0-augustus-gene-3.6-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-3.6&CDS=1-426, maker-flattened_line_0-augustus-gene-9.156-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-9.156&CDS=1-1188, snap_masked-flattened_line_0-processed-gene-3.133-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.133&CDS=1-843
17	OG0000017	YCL069W, YGR224W, YKR105C, YPR198W	genemark-flattened_line_28-processed-gene-0.74-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.74&CDS=1-1791
18	OG0000018	YCR102C, YLR460C, YNL134C	genemark-flattened_line_0-processed-gene-10.65-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-10.65&CDS=1-1125, genemark-flattened_line_0-processed-gene-2.81-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.81&CDS=1-1125
19	OG0000019	YDL244W, YFL058W, YJR156C, YNL332W	genemark-flattened_line_30-processed-gene-0.80-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.80&CDS=1-1023
20	OG0000020	YDR038C, YDR039C, YDR040C	genemark-flattened_line_1-processed-gene-1.55-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-1.55&CDS=1-3240, genemark-flattened_line_1-processed-gene-4.82-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-4.82&CDS=1-3240
21	OG0000021	YDR541C, YGL039W, YGL157W, YOL151W	genemark-flattened_line_50-processed-gene-0.190-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.190&CDS=1-1029
22	OG0000022	YFL059W, YMR096W, YNL333W	genemark-flattened_line_0-processed-gene-1.95-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.95&CDS=1-900, genemark-flattened_line_0-processed-gene-10.71-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-10.71&CDS=1-900
23	OG0000023	YFL060C, YMR095C, YNL334C	genemark-flattened_line_0-processed-gene-1.72-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.72&CDS=1-756, genemark-flattened_line_0-processed-gene-10.95-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-10.95&CDS=1-756
24	OG0000024	YFR031C-A, YIL018W	genemark-flattened_line_0-processed-gene-6.1-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.1&CDS=1-762, genemark-flattened_line_0-processed-gene-6.30-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.30&CDS=1-762, genemark-flattened_line_68-processed-gene-0.133-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.133&CDS=1-762
25	OG0000025	YHR179W, YPL171C	augustus_masked-flattened_line_185-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_185-processed-gene-0.2&CDS=1-1023, genemark-flattened_line_72-processed-gene-0.76-mRNA-1_1&gene=genemark-flattened_line_72-processed-gene-0.76&CDS=1-1224, genemark-flattened_line_8-processed-gene-2.140-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.140&CDS=1-1194
26	OG0000026	YLR237W, YOR071C, YOR192C	genemark-flattened_line_1-processed-gene-0.78-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-0.78&CDS=1-1752, genemark-flattened_line_1-processed-gene-5.117-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-5.117&CDS=1-1752
27	OG0000027	YML111W, YMR275C, YNR069C	augustus_masked-flattened_line_90-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-flattened_line_90-processed-gene-0.110&CDS=1-2271, snap_masked-flattened_line_44-processed-gene-0.156-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.156&CDS=1-2556
28	OG0000028	Q0105, Q0110, Q0115, Q0120	snap_masked-flattened_line_118-processed-gene-0.42-mRNA-1_1&gene=snap_masked-flattened_line_118-processed-gene-0.42&CDS=1-219
29	OG0000029	YAL018C, YOL048C	augustus_masked-flattened_line_4-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.101&CDS=1-723, maker-flattened_line_20-augustus-gene-1.5-mRNA-1_1&gene=maker-flattened_line_20-augustus-gene-1.5&CDS=1-1158
30	OG0000030	YBL002W, YDR224C	augustus_masked-flattened_line_10-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.59&CDS=1-393, genemark-flattened_line_2-processed-gene-0.51-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.51&CDS=1-393
31	OG0000031	YBL003C, YDR225W	genemark-flattened_line_10-processed-gene-2.101-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.101&CDS=1-393, genemark-flattened_line_2-processed-gene-0.74-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.74&CDS=1-393
32	OG0000032	YBL067C, YER098W	genemark-flattened_line_0-processed-gene-2.73-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.73&CDS=1-2121, genemark-flattened_line_0-processed-gene-9.50-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.50&CDS=1-2121
33	OG0000033	YBL068W, YER099C	genemark-flattened_line_0-processed-gene-2.94-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.94&CDS=1-975, genemark-flattened_line_0-processed-gene-9.36-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.36&CDS=1-975
34	OG0000034	YBL072C, YER102W	genemark-flattened_line_0-processed-gene-2.75-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.75&CDS=1-594, genemark-flattened_line_0-processed-gene-9.48-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.48&CDS=1-594
35	OG0000035	YBR009C, YNL030W	genemark-flattened_line_124-processed-gene-0.25-mRNA-1_1&gene=genemark-flattened_line_124-processed-gene-0.25&CDS=1-309, genemark-flattened_line_56-processed-gene-0.229-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.229&CDS=1-309
36	OG0000036	YBR010W, YNL031C	genemark-flattened_line_124-processed-gene-0.10-mRNA-1_1&gene=genemark-flattened_line_124-processed-gene-0.10&CDS=1-408, genemark-flattened_line_56-processed-gene-0.190-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.190&CDS=1-408
37	OG0000037	YBR089C-A, YPR052C	genemark-flattened_line_0-processed-gene-3.100-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.100&CDS=1-267, genemark-flattened_line_0-processed-gene-8.25-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.25&CDS=1-267
38	OG0000038	YBR118W, YPR080W	augustus_masked-flattened_line_22-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.96&CDS=1-765, augustus_masked-flattened_line_94-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-flattened_line_94-processed-gene-0.36&CDS=1-765
39	OG0000039	YBR147W, YOL092W	genemark-flattened_line_0-processed-gene-0.90-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.90&CDS=1-963, genemark-flattened_line_0-processed-gene-11.182-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-11.182&CDS=1-963
40	OG0000040	YBR189W, YPL081W	maker-flattened_line_1-snap-gene-1.111-mRNA-1_1&gene=maker-flattened_line_1-snap-gene-1.111&CDS=1-993, maker-flattened_line_1-snap-gene-5.10-mRNA-1_1&gene=maker-flattened_line_1-snap-gene-5.10&CDS=1-993
41	OG0000041	YBR238C, YGL107C	genemark-flattened_line_60-processed-gene-0.198-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.198&CDS=1-1881, maker-flattened_line_48-snap-gene-0.153-mRNA-1_1&gene=maker-flattened_line_48-snap-gene-0.153&CDS=1-3768
42	OG0000042	YBR242W, YGL101W	genemark-flattened_line_0-processed-gene-1.53-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.53&CDS=1-675, genemark-flattened_line_0-processed-gene-11.178-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-11.178&CDS=1-675
43	OG0000043	YDR069C, YER144C	augustus_masked-flattened_line_1-processed-gene-3.119-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-3.119&CDS=1-2526, augustus_masked-flattened_line_1-processed-gene-3.148-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-3.148&CDS=1-2526
44	OG0000044	YDR144C, YLR120C, YLR121C	genemark-flattened_line_16-processed-gene-0.90-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-0.90&CDS=1-1749
45	OG0000045	YDR178W, YLR164W	genemark-flattened_line_12-processed-gene-2.101-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.101&CDS=1-552, genemark-flattened_line_130-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_130-processed-gene-0.21&CDS=1-498
46	OG0000046	YDR242W	genemark-flattened_line_58-processed-gene-0.104-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.104&CDS=1-1629, genemark-flattened_line_88-processed-gene-0.36-mRNA-1_1&gene=genemark-flattened_line_88-processed-gene-0.36&CDS=1-1662, maker-flattened_line_40-snap-gene-1.196-mRNA-1_1&gene=maker-flattened_line_40-snap-gene-1.196&CDS=1-3174
47	OG0000047	YDR368W, YOR120W	genemark-flattened_line_2-processed-gene-4.122-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.122&CDS=1-924, genemark-flattened_line_38-processed-gene-1.121-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-1.121&CDS=1-939
48	OG0000048	YDR458C, YML034W	augustus_masked-flattened_line_90-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-flattened_line_90-processed-gene-0.107&CDS=1-2358, snap_masked-flattened_line_24-processed-gene-1.5-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-1.5&CDS=1-1887
49	OG0000049	YER056C, YER060W, YER060W-A	genemark-flattened_line_54-processed-gene-0.112-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.112&CDS=1-1524
50	OG0000050	YER056C-A, YIL052C	genemark-flattened_line_4-processed-gene-0.20-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.20&CDS=1-351, genemark-flattened_line_84-processed-gene-0.95-mRNA-1_1&gene=genemark-flattened_line_84-processed-gene-0.95&CDS=1-351
51	OG0000051	YER067W, YIL057C	genemark-flattened_line_4-processed-gene-1.15-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.15&CDS=1-546, genemark-flattened_line_68-processed-gene-0.106-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.106&CDS=1-615
52	OG0000052	YFL004W, YPL019C	genemark-flattened_line_1-processed-gene-2.67-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-2.67&CDS=1-2583, genemark-flattened_line_1-processed-gene-4.91-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-4.91&CDS=1-2583
53	OG0000053	YGL044C, YGR156W	genemark-flattened_line_64-processed-gene-0.183-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.183&CDS=1-825, genemark-flattened_line_64-processed-gene-0.184-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.184&CDS=1-1443
54	OG0000054	YGL196W	genemark-flattened_line_0-processed-gene-0.84-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.84&CDS=1-1248, genemark-flattened_line_0-processed-gene-11.188-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-11.188&CDS=1-1248, genemark-flattened_line_2-processed-gene-3.19-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.19&CDS=1-1272
55	OG0000055	YGR087C, YLR044C, YLR134W	genemark-flattened_line_135-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_135-processed-gene-0.21&CDS=1-1716
56	OG0000056	YHL033C, YLL045C	genemark-flattened_line_0-processed-gene-5.123-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.123&CDS=1-780, genemark-flattened_line_0-processed-gene-6.32-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.32&CDS=1-780
57	OG0000057	YHR043C, YHR044C	genemark-flattened_line_0-processed-gene-2.67-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.67&CDS=1-726, genemark-flattened_line_0-processed-gene-9.56-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.56&CDS=1-726
58	OG0000058	YHR047C, YKL157W	genemark-flattened_line_8-processed-gene-1.59-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.59&CDS=1-2622, genemark-flattened_line_88-processed-gene-0.44-mRNA-1_1&gene=genemark-flattened_line_88-processed-gene-0.44&CDS=1-2619
59	OG0000059	YIL151C, YKR096W	genemark-flattened_line_36-processed-gene-1.104-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.104&CDS=1-981, maker-flattened_line_36-snap-gene-1.6-mRNA-1_1&gene=maker-flattened_line_36-snap-gene-1.6&CDS=1-4488
60	OG0000060	YIR013C, YLR013W	genemark-flattened_line_16-processed-gene-1.176-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-1.176&CDS=1-1050, snap_masked-flattened_line_30-processed-gene-1.68-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.68&CDS=1-1518
61	OG0000061	YJL134W, YKR053C	genemark-flattened_line_0-processed-gene-3.99-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.99&CDS=1-1347, genemark-flattened_line_0-processed-gene-8.26-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.26&CDS=1-1347
62	OG0000062	YJL138C, YKR059W	augustus_masked-flattened_line_0-processed-gene-8.120-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.120&CDS=1-1440, maker-flattened_line_0-snap-gene-3.54-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-3.54&CDS=1-1440
63	OG0000063	YJR154W	genemark-flattened_line_112-processed-gene-0.40-mRNA-1_1&gene=genemark-flattened_line_112-processed-gene-0.40&CDS=1-975, genemark-flattened_line_28-processed-gene-0.48-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.48&CDS=1-1047, genemark-flattened_line_48-processed-gene-0.50-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.50&CDS=1-960
64	OG0000064	YKR075C, YOR062C	genemark-flattened_line_1-processed-gene-0.70-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-0.70&CDS=1-822, genemark-flattened_line_1-processed-gene-5.125-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-5.125&CDS=1-822
65	OG0000065	YKR076W, YMR251W	genemark-flattened_line_0-processed-gene-5.117-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.117&CDS=1-1482, genemark-flattened_line_0-processed-gene-6.38-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.38&CDS=1-1482
66	OG0000066	YLL062C, YMR321C, YPL273W	genemark-flattened_line_4-processed-gene-0.32-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.32&CDS=1-1011
67	OG0000067	YLR264W, YOR167C	genemark-flattened_line_84-processed-gene-0.97-mRNA-1_1&gene=genemark-flattened_line_84-processed-gene-0.97&CDS=1-201, maker-flattened_line_4-augustus-gene-0.1-mRNA-1_1&gene=maker-flattened_line_4-augustus-gene-0.1&CDS=1-201
68	OG0000068	YML131W	augustus_masked-flattened_line_137-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_137-processed-gene-0.23&CDS=1-423, genemark-flattened_line_173-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_173-processed-gene-0.1&CDS=1-411, snap_masked-flattened_line_205-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_205-processed-gene-0.1&CDS=1-609
69	OG0000069	YMR006C, YMR008C, YOL011W	genemark-flattened_line_32-processed-gene-0.140-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.140&CDS=1-1938
70	OG0000070	YMR222C, YOR280C	genemark-flattened_line_1-processed-gene-2.89-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-2.89&CDS=1-762, genemark-flattened_line_1-processed-gene-4.73-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-4.73&CDS=1-762
71	OG0000071	YNL095C, YOR092W	genemark-flattened_line_24-processed-gene-0.70-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.70&CDS=1-1887, genemark-flattened_line_6-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.4&CDS=1-1695
72	OG0000072	YOL055C, YPL258C, YPR121W	genemark-flattened_line_44-processed-gene-0.41-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.41&CDS=1-1689
73	OG0000073	YOR256C, YPL176C	augustus_masked-flattened_line_0-processed-gene-4.50-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.50&CDS=1-2847, augustus_masked-flattened_line_0-processed-gene-7.115-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.115&CDS=1-2847
74	OG0000074	YOR389W, YPL277C, YPL278C	genemark-flattened_line_46-processed-gene-0.174-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.174&CDS=1-1896
75	OG0000075	YOR390W, YPL279C	genemark-flattened_line_1-processed-gene-0.60-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-0.60&CDS=1-1038, genemark-flattened_line_1-processed-gene-5.141-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-5.141&CDS=1-1038
76	OG0000076	Q0045, Q0065, Q0070	maker-flattened_line_118-augustus-gene-0.0-mRNA-1_1&gene=maker-flattened_line_118-augustus-gene-0.0&CDS=1-1425
77	OG0000077	YAL007C, YOR016C	genemark-flattened_line_18-processed-gene-1.209-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.209&CDS=1-624
78	OG0000078	YAL015C, YOL043C	genemark-flattened_line_60-processed-gene-0.233-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.233&CDS=1-1152
79	OG0000079	YAL017W, YOL045W	augustus_masked-flattened_line_145-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_145-processed-gene-0.18&CDS=1-3507
80	OG0000080	YAL030W, YOR327C	genemark-flattened_line_26-processed-gene-1.193-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.193&CDS=1-354
81	OG0000081	YAL034C, YOR338W	genemark-flattened_line_38-processed-gene-1.136-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-1.136&CDS=1-1257
82	OG0000082	YAL056W, YOR371C	augustus_masked-flattened_line_102-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-flattened_line_102-processed-gene-0.21&CDS=1-2751
83	OG0000083	YAR002C-A, YGL002W	genemark-flattened_line_60-processed-gene-0.187-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.187&CDS=1-657
84	OG0000084	YAR042W, YDL019C	genemark-flattened_line_2-processed-gene-3.20-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.20&CDS=1-3807
85	OG0000085	YBL005W, YER184C, YGL013C	
86	OG0000086	YBL009W, YGL021W	genemark-flattened_line_8-processed-gene-2.180-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.180&CDS=1-2526
87	OG0000087	YBL027W, YBR084C-A	augustus_masked-flattened_line_22-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.4&CDS=1-570
88	OG0000088	YBL033C	snap_masked-flattened_line_0-processed-gene-1.9-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.9&CDS=1-996, snap_masked-flattened_line_0-processed-gene-11.129-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-11.129&CDS=1-996
89	OG0000089	YBL056W, YER089C	genemark-flattened_line_46-processed-gene-0.205-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.205&CDS=1-1347
