	OrthologID	Saccharomyces_cerevisiae	yHAB155_Kazachstania_spencerorum
11	OG0000011	YLR240W, YLR241W	augustus_masked-scf7180000055534-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000055534-processed-gene-0.5&CDS=1-5004, genemark-scf7180000053799-processed-gene-0.8-mRNA-1_1&gene=genemark-scf7180000053799-processed-gene-0.8&CDS=1-2094, genemark-scf7180000053801-processed-gene-0.10-mRNA-1_1&gene=genemark-scf7180000053801-processed-gene-0.10&CDS=1-2127, genemark-scf7180000054376-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000054376-processed-gene-0.0&CDS=1-2127, genemark-scf7180000055567-processed-gene-0.36-mRNA-1_1&gene=genemark-scf7180000055567-processed-gene-0.36&CDS=1-2127
12	OG0000012	YML041C, YMR312W	augustus_masked-scf7180000054797-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000054797-processed-gene-0.2&CDS=1-291, augustus_masked-scf7180000054847-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000054847-processed-gene-0.0&CDS=1-282, augustus_masked-scf7180000055596-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-scf7180000055596-processed-gene-0.102&CDS=1-1581, augustus_masked-scf7180000055668-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-scf7180000055668-processed-gene-0.102&CDS=1-1548, genemark-scf7180000055642-processed-gene-0.54-mRNA-1_1&gene=genemark-scf7180000055642-processed-gene-0.54&CDS=1-753
13	OG0000013		augustus_masked-scf7180000055461-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000055461-processed-gene-0.0&CDS=1-1857, augustus_masked-scf7180000055527-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000055527-processed-gene-0.4&CDS=1-2490, genemark-scf7180000055653-processed-gene-0.84-mRNA-1_1&gene=genemark-scf7180000055653-processed-gene-0.84&CDS=1-2472, snap_masked-scf7180000055314-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000055314-processed-gene-0.1&CDS=1-258, snap_masked-scf7180000055465-processed-gene-0.62-mRNA-1_1&gene=snap_masked-scf7180000055465-processed-gene-0.62&CDS=1-2007, snap_masked-scf7180000055639-processed-gene-2.225-mRNA-1_1&gene=snap_masked-scf7180000055639-processed-gene-2.225&CDS=1-1980, snap_masked-scf7180000055664-processed-gene-0.92-mRNA-1_1&gene=snap_masked-scf7180000055664-processed-gene-0.92&CDS=1-1893
14	OG0000014	YBR009C, YNL030W	genemark-scf7180000055526-processed-gene-0.38-mRNA-1_1&gene=genemark-scf7180000055526-processed-gene-0.38&CDS=1-309, genemark-scf7180000055597-processed-gene-0.192-mRNA-1_1&gene=genemark-scf7180000055597-processed-gene-0.192&CDS=1-309, genemark-scf7180000055607-processed-gene-1.202-mRNA-1_1&gene=genemark-scf7180000055607-processed-gene-1.202&CDS=1-309, genemark-scf7180000055649-processed-gene-0.23-mRNA-1_1&gene=genemark-scf7180000055649-processed-gene-0.23&CDS=1-309
15	OG0000015	YDL104C	augustus_masked-scf7180000053729-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000053729-processed-gene-0.4&CDS=1-438, augustus_masked-scf7180000053848-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000053848-processed-gene-0.4&CDS=1-438, augustus_masked-scf7180000054521-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000054521-processed-gene-0.0&CDS=1-450, genemark-scf7180000055597-processed-gene-0.247-mRNA-1_1&gene=genemark-scf7180000055597-processed-gene-0.247&CDS=1-1155, snap_masked-scf7180000054524-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000054524-processed-gene-0.1&CDS=1-459
16	OG0000016	YDR189W	genemark-scf7180000053799-processed-gene-0.12-mRNA-1_1&gene=genemark-scf7180000053799-processed-gene-0.12&CDS=1-1962, genemark-scf7180000053801-processed-gene-0.6-mRNA-1_1&gene=genemark-scf7180000053801-processed-gene-0.6&CDS=1-1962, genemark-scf7180000054376-processed-gene-0.4-mRNA-1_1&gene=genemark-scf7180000054376-processed-gene-0.4&CDS=1-1962, genemark-scf7180000055534-processed-gene-0.20-mRNA-1_1&gene=genemark-scf7180000055534-processed-gene-0.20&CDS=1-1962, genemark-scf7180000055567-processed-gene-0.46-mRNA-1_1&gene=genemark-scf7180000055567-processed-gene-0.46&CDS=1-1962
17	OG0000017	YDR190C	augustus_masked-scf7180000053799-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scf7180000053799-processed-gene-0.15&CDS=1-2214, augustus_masked-scf7180000053801-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000053801-processed-gene-0.3&CDS=1-2214, augustus_masked-scf7180000054376-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000054376-processed-gene-0.13&CDS=1-2214, augustus_masked-scf7180000055534-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000055534-processed-gene-0.4&CDS=1-2214, augustus_masked-scf7180000055567-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000055567-processed-gene-0.1&CDS=1-2214
18	OG0000018	YGR014W	augustus_masked-scf7180000053837-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000053837-processed-gene-0.0&CDS=1-1446, augustus_masked-scf7180000055654-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-scf7180000055654-processed-gene-0.58&CDS=1-1089, snap_masked-scf7180000053833-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000053833-processed-gene-0.0&CDS=1-1401, snap_masked-scf7180000053836-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000053836-processed-gene-0.0&CDS=1-1413, snap_masked-scf7180000055655-processed-gene-0.90-mRNA-1_1&gene=snap_masked-scf7180000055655-processed-gene-0.90&CDS=1-2862
19	OG0000019	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	augustus_masked-scf7180000055639-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-scf7180000055639-processed-gene-1.67&CDS=1-975, snap_masked-scf7180000055416-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000055416-processed-gene-0.5&CDS=1-873
20	OG0000020	YJL164C, YJL165C, YKL166C, YPL203W	genemark-scf7180000054071-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000054071-processed-gene-0.1&CDS=1-504, maker-scf7180000055665-snap-gene-0.67-mRNA-1_1&gene=maker-scf7180000055665-snap-gene-0.67&CDS=1-3693
21	OG0000021	YJR026W, YJR027W, YJR028W, YLR227W-A, YLR256W-A, YML040W	
22	OG0000022	YJR092W	augustus_masked-scf7180000053781-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000053781-processed-gene-0.2&CDS=1-1761, augustus_masked-scf7180000055604-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-scf7180000055604-processed-gene-0.82&CDS=1-3045, snap_masked-scf7180000053780-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000053780-processed-gene-0.1&CDS=1-1767, snap_masked-scf7180000055517-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000055517-processed-gene-0.0&CDS=1-2049, snap_masked-scf7180000055638-processed-gene-1.268-mRNA-1_1&gene=snap_masked-scf7180000055638-processed-gene-1.268&CDS=1-3663
23	OG0000023	YJR135C	augustus_masked-scf7180000053786-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000053786-processed-gene-0.0&CDS=1-1044, augustus_masked-scf7180000053789-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000053789-processed-gene-0.5&CDS=1-1026, augustus_masked-scf7180000055621-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-scf7180000055621-processed-gene-1.121&CDS=1-2772, augustus_masked-scf7180000055671-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000055671-processed-gene-0.10&CDS=1-1029, snap_masked-scf7180000053744-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000053744-processed-gene-0.1&CDS=1-744
24	OG0000024	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-scf7180000055411-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000055411-processed-gene-0.13&CDS=1-924
25	OG0000025	YLR242C	genemark-scf7180000053799-processed-gene-0.11-mRNA-1_1&gene=genemark-scf7180000053799-processed-gene-0.11&CDS=1-882, genemark-scf7180000053801-processed-gene-0.7-mRNA-1_1&gene=genemark-scf7180000053801-processed-gene-0.7&CDS=1-882, genemark-scf7180000054376-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000054376-processed-gene-0.3&CDS=1-882, genemark-scf7180000055534-processed-gene-0.21-mRNA-1_1&gene=genemark-scf7180000055534-processed-gene-0.21&CDS=1-882, genemark-scf7180000055567-processed-gene-0.45-mRNA-1_1&gene=genemark-scf7180000055567-processed-gene-0.45&CDS=1-882
26	OG0000026	YMR102C	augustus_masked-scf7180000054034-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000054034-processed-gene-0.0&CDS=1-2025, augustus_masked-scf7180000054090-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000054090-processed-gene-0.2&CDS=1-1182, augustus_masked-scf7180000054092-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000054092-processed-gene-0.2&CDS=1-864, augustus_masked-scf7180000054897-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000054897-processed-gene-0.0&CDS=1-2025, snap_masked-scf7180000055445-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000055445-processed-gene-0.3&CDS=1-2466
27	OG0000027	YOR025W, YOR027W	augustus_masked-scf7180000053754-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000053754-processed-gene-0.0&CDS=1-1698, augustus_masked-scf7180000053756-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000053756-processed-gene-0.0&CDS=1-1689, augustus_masked-scf7180000055596-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-scf7180000055596-processed-gene-0.111&CDS=1-3102, genemark-scf7180000055664-processed-gene-0.132-mRNA-1_1&gene=genemark-scf7180000055664-processed-gene-0.132&CDS=1-1749
28	OG0000028	YPL006W	augustus_masked-scf7180000053795-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000053795-processed-gene-0.0&CDS=1-2817, augustus_masked-scf7180000055580-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-scf7180000055580-processed-gene-0.123&CDS=1-2751, maker-scf7180000053800-snap-gene-0.4-mRNA-1_1&gene=maker-scf7180000053800-snap-gene-0.4&CDS=1-2766, maker-scf7180000053802-augustus-gene-0.3-mRNA-1_1&gene=maker-scf7180000053802-augustus-gene-0.3&CDS=1-2688, maker-scf7180000055627-snap-gene-0.12-mRNA-1_1&gene=maker-scf7180000055627-snap-gene-0.12&CDS=1-3663
29	OG0000029	YPL007C	augustus_masked-scf7180000053795-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000053795-processed-gene-0.1&CDS=1-438, augustus_masked-scf7180000053800-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000053800-processed-gene-0.6&CDS=1-438, augustus_masked-scf7180000055627-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000055627-processed-gene-0.8&CDS=1-438, genemark-scf7180000055580-processed-gene-0.216-mRNA-1_1&gene=genemark-scf7180000055580-processed-gene-0.216&CDS=1-1737, snap_masked-scf7180000053802-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000053802-processed-gene-0.1&CDS=1-435
30	OG0000030	YPL100W, YPL101W	augustus_masked-scf7180000053774-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000053774-processed-gene-0.4&CDS=1-1086, augustus_masked-scf7180000055537-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-scf7180000055537-processed-gene-0.57&CDS=1-1308, maker-scf7180000055569-augustus-gene-0.70-mRNA-1_1&gene=maker-scf7180000055569-augustus-gene-0.70&CDS=1-2244, snap_masked-scf7180000053774-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000053774-processed-gene-0.3&CDS=1-573
31	OG0000031	YPL153C, YPL155C	augustus_masked-scf7180000053819-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000053819-processed-gene-0.2&CDS=1-1395, augustus_masked-scf7180000053822-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000053822-processed-gene-0.0&CDS=1-1377, augustus_masked-scf7180000055610-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000055610-processed-gene-0.6&CDS=1-6225, genemark-scf7180000053814-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000053814-processed-gene-0.1&CDS=1-1503
32	OG0000032	YPR091C, YPR093C	augustus_masked-scf7180000053737-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000053737-processed-gene-0.0&CDS=1-990, augustus_masked-scf7180000055396-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000055396-processed-gene-0.0&CDS=1-483, augustus_masked-scf7180000055542-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-scf7180000055542-processed-gene-0.72&CDS=1-2238, augustus_masked-scf7180000055583-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scf7180000055583-processed-gene-0.24&CDS=1-1368
33	OG0000033	YAL061W	augustus_masked-scf7180000054040-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000054040-processed-gene-0.0&CDS=1-498, augustus_masked-scf7180000054044-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000054044-processed-gene-0.2&CDS=1-846, augustus_masked-scf7180000054617-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000054617-processed-gene-0.0&CDS=1-861, augustus_masked-scf7180000055525-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000055525-processed-gene-0.2&CDS=1-849
34	OG0000034	YBL017C, YIL173W, YJL222W, YNR065C	genemark-scf7180000055592-processed-gene-0.149-mRNA-1_1&gene=genemark-scf7180000055592-processed-gene-0.149&CDS=1-4788
35	OG0000035	YBL056W, YER089C	augustus_masked-scf7180000053909-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000053909-processed-gene-0.0&CDS=1-1107, augustus_masked-scf7180000053910-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000053910-processed-gene-0.2&CDS=1-1098, genemark-scf7180000055618-processed-gene-0.60-mRNA-1_1&gene=genemark-scf7180000055618-processed-gene-0.60&CDS=1-1437
36	OG0000036	YBR010W, YNL031C	genemark-scf7180000055526-processed-gene-0.16-mRNA-1_1&gene=genemark-scf7180000055526-processed-gene-0.16&CDS=1-408, genemark-scf7180000055607-processed-gene-1.242-mRNA-1_1&gene=genemark-scf7180000055607-processed-gene-1.242&CDS=1-408, genemark-scf7180000055649-processed-gene-0.8-mRNA-1_1&gene=genemark-scf7180000055649-processed-gene-0.8&CDS=1-408
37	OG0000037	YBR137W	augustus_masked-scf7180000055284-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000055284-processed-gene-0.2&CDS=1-303, augustus_masked-scf7180000055487-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000055487-processed-gene-0.0&CDS=1-252, augustus_masked-scf7180000055666-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-scf7180000055666-processed-gene-0.29&CDS=1-525, genemark-scf7180000055575-processed-gene-0.41-mRNA-1_1&gene=genemark-scf7180000055575-processed-gene-0.41&CDS=1-525
38	OG0000038	YBR216C, YGL060W	augustus_masked-scf7180000054687-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000054687-processed-gene-0.2&CDS=1-417, augustus_masked-scf7180000055486-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000055486-processed-gene-0.2&CDS=1-414, snap_masked-scf7180000055607-processed-gene-1.161-mRNA-1_1&gene=snap_masked-scf7180000055607-processed-gene-1.161&CDS=1-2268
39	OG0000039	YBR231C	augustus_masked-scf7180000053891-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000053891-processed-gene-0.5&CDS=1-534, augustus_masked-scf7180000053895-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000053895-processed-gene-0.4&CDS=1-522, augustus_masked-scf7180000053896-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000053896-processed-gene-0.5&CDS=1-513, genemark-scf7180000055625-processed-gene-0.25-mRNA-1_1&gene=genemark-scf7180000055625-processed-gene-0.25&CDS=1-879
