"query_id"	"subject_id"	"perc_identity"	"num_ident_matches"	"alig_length"	"mismatches"	"gap_openings"	"n_gaps"	"pos_match"	"ppos"	"q_start"	"q_end"	"q_len"	"qcov"	"qcovhsp"	"s_start"	"s_end"	"s_len"	"evalue"	"bit_score"	"score_raw"
"3j6b/3j6b-X-bundle2.X"	"YML009C"	100	64	64	0	0	0	64	100	1	64	64	100	100	6	69	71	2e-40	128	321
"3j6b/3j6b-Y-bundle2.Y"	"YDR115W"	100	45	45	0	0	0	45	100	1	45	45	100	100	61	105	106	3e-25	89.7	221
"3j6b/3j6b-Z-bundle2.Z"	"YNL122C"	100	62	62	0	0	0	62	100	1	62	62	100	100	54	115	116	1e-39	127	318
"3j6b/3j6b-0-bundle2.0"	"YPL183W-A"	100	38	38	0	0	0	38	100	1	38	38	100	100	56	93	94	3e-22	81.3	199
"3j6b/3j6b-1-bundle2.1"	"YDR322W"	95.4	332	348	0	3	16	332	95.4	1	332	332	100	100	20	367	368	0	666	1719
"3j6b/3j6b-2-bundle2.2"	"YDR462W"	100	113	113	0	0	0	113	100	1	113	113	100	100	34	146	148	3e-80	234	596
"3j6b/3j6b-3-bundle2.3"	"YBR282W"	97.67	126	129	0	2	3	126	97.67	1	126	126	100	100	17	145	147	8e-87	251	641
"3j6b/3j6b-4-bundle2.4"	"YPR100W"	100	138	138	0	0	0	138	100	1	138	138	100	100	2	139	141	9e-100	284	727
"3j6b/3j6b-5-bundle2.5"	"YMR024W"	100	326	326	0	0	0	326	100	1	326	326	100	100	65	390	391	0	675	1742
"3j6b/3j6b-6-bundle2.6"	"YNL252C"	81.01	209	258	0	6	49	209	81.01	1	209	209	100	100	23	280	282	2e-136	386	991
"3j6b/3j6b-7-bundle2.7"	"YCR071C"	100	106	106	0	0	0	106	100	1	106	106	100	100	41	146	147	7e-74	217	553
"3j6b/3j6b-8-bundle2.8"	"YKR006C"	98.9	180	182	0	1	2	180	98.9	3	182	182	99	99	83	264	265	1e-128	364	935
"3j6b/3j6b-9-bundle2.9"	"YLR312W-A"	91.08	194	213	1	4	18	194	91.08	1	195	195	100	100	29	241	254	6e-133	375	964
"3j6b/3j6b-a-bundle2.a"	"YKR085C"	100	176	176	0	0	0	176	100	1	176	176	100	100	20	195	196	8e-131	367	941
"3j6b/3j6b-b-bundle2.b"	"YGR076C"	100	155	155	0	0	0	155	100	1	155	155	100	100	3	157	158	7e-110	311	797
"3j6b/3j6b-c-bundle2.c"	"YKL138C"	100	118	118	0	0	0	118	100	1	118	118	100	100	14	131	132	1e-83	242	618
"3j6b/3j6b-d-bundle2.d"	"YDR296W"	95.77	204	213	0	1	9	204	95.77	1	204	204	100	100	2	214	227	2e-150	419	1077
"3j6x/3j6x-D-bundle1.D"	"YPL220W"	100	204	204	0	0	0	204	100	1	204	204	100	100	13	216	218	3e-148	413	1062
"3j6x/3j6x-D-bundle1.D"	"YGL135W"	100	204	204	0	0	0	204	100	1	204	204	100	100	13	216	218	3e-148	413	1062
"3j6x/3j6x-E-bundle1.E"	"YIL018W"	100	252	252	0	0	0	252	100	1	252	252	100	100	2	253	255	0	503	1295
"3j6x/3j6x-E-bundle1.E"	"YFR031C-A"	100	252	252	0	0	0	252	100	1	252	252	100	100	2	253	255	0	503	1295
"3j6x/3j6x-E-bundle1.E"	"YEL050C"	39.17	47	120	60	2	13	64	53.33	98	213	252	46	46	238	348	394	3e-18	81.3	199
"3j6x/3j6x-F-bundle1.F"	"YOR063W"	100	386	386	0	0	0	386	100	1	386	386	100	100	2	387	388	0	792	2045
"3j6x/3j6x-G-bundle1.G"	"YBR031W"	100	361	361	0	0	0	361	100	1	361	361	100	100	2	362	363	0	731	1887
"3j6x/3j6x-G-bundle1.G"	"YDR012W"	99.72	360	361	1	0	0	360	99.72	1	361	361	100	100	2	362	363	0	729	1882
"3j6x/3j6x-H-bundle1.H"	"YPL131W"	100	296	296	0	0	0	296	100	1	296	296	100	100	2	297	298	0	606	1563
"3j6x/3j6x-I-bundle1.I"	"YML073C"	88	154	175	2	1	19	155	88.57	1	156	156	100	100	2	176	177	2e-104	298	764
"3j6x/3j6x-I-bundle1.I"	"YLR448W"	83.43	146	175	10	1	19	153	87.43	1	156	156	100	100	2	176	177	2e-99	285	730
"3j6x/3j6x-J-bundle1.J"	"YGL076C"	100	222	222	0	0	0	222	100	1	222	222	100	100	23	244	245	4e-163	452	1164
"3j6x/3j6x-J-bundle1.J"	"YPL198W"	99.1	220	222	2	0	0	222	100	1	222	222	100	100	23	244	245	2e-162	451	1160
"3j6x/3j6x-J-bundle1.J"	"YNL002C"	41.46	68	164	86	3	10	95	57.93	61	215	222	70	70	141	303	323	3e-34	124	312
"3j6x/3j6x-K-bundle1.K"	"YHL033C"	100	233	233	0	0	0	233	100	1	233	233	100	100	24	256	257	4e-171	474	1219
"3j6x/3j6x-K-bundle1.K"	"YLL045C"	97.85	228	233	5	0	0	232	99.57	1	233	233	100	100	24	256	257	4e-169	469	1207
"3j6x/3j6x-K-bundle1.K"	"YDL208W"	35.71	20	56	36	0	0	31	55.36	109	164	233	24	24	56	111	157	2e-06	44.7	104
"3j6x/3j6x-K-bundle1.K"	"YEL026W"	32.14	18	56	38	0	0	31	55.36	109	164	233	24	24	33	88	127	8e-06	42.4	98
"3j6x/3j6x-L-bundle1.L"	"YGL147C"	100	191	191	0	0	0	191	100	1	191	191	100	100	1	191	192	9e-138	385	989
"3j6x/3j6x-L-bundle1.L"	"YNL067W"	97.91	187	191	4	0	0	189	98.95	1	191	191	100	100	1	191	192	2e-135	379	973
"3j6x/3j6x-L-bundle1.L"	"YHR147C"	28.77	42	146	89	7	15	75	51.37	22	163	191	74	74	53	187	215	7e-05	40.4	93
"3j6x/3j6x-M-bundle1.M"	"YLR075W"	95.91	211	220	0	1	9	211	95.91	1	211	211	100	100	2	221	222	4e-155	431	1108
"3j6x/3j6x-N-bundle1.N"	"YPR102C"	100	169	169	0	0	0	169	100	1	169	169	100	100	6	174	175	2e-124	349	896
"3j6x/3j6x-N-bundle1.N"	"YGR085C"	100	169	169	0	0	0	169	100	1	169	169	100	100	6	174	175	3e-124	349	896
"3j6x/3j6x-O-bundle1.O"	"YDL082W"	100	193	193	0	0	0	193	100	1	193	193	100	100	2	194	200	9e-138	385	990
"3j6x/3j6x-O-bundle1.O"	"YMR142C"	98.96	191	193	2	0	0	192	99.48	1	193	193	100	100	2	194	200	3e-136	382	980
"3j6x/3j6x-A-bundle2.A"	"YKL006W"	100	136	136	0	0	0	136	100	1	136	136	100	100	3	138	139	8e-93	266	681
"3j6x/3j6x-A-bundle2.A"	"YHL001W"	99.26	135	136	1	0	0	135	99.26	1	136	136	100	100	3	138	139	3e-92	265	677
"3j6x/3j6x-B-bundle2.B"	"YLR029C"	100	203	203	0	0	0	203	100	1	203	203	100	100	2	204	205	9e-148	411	1057
"3j6x/3j6x-B-bundle2.B"	"YMR121C"	99.01	201	203	2	0	0	203	100	1	203	203	100	100	2	204	205	2e-146	408	1049
"3j6x/3j6x-C-bundle2.C"	"YIL133C"	100	197	197	0	0	0	197	100	1	197	197	100	100	3	199	200	4e-141	394	1012
"3j6x/3j6x-C-bundle2.C"	"YNL069C"	90.31	177	196	19	0	0	187	95.41	2	197	197	99	99	3	198	199	6e-125	353	905
"3j6x/3j6x-C-bundle2.C"	"YOR150W"	30.09	34	113	59	4	20	49	43.36	14	110	197	49	49	28	136	164	5e-04	37.4	85
"3j6x/3j6x-D-bundle2.D"	"YKL180W"	100	183	183	0	0	0	183	100	1	183	183	100	100	2	184	185	7e-132	369	948
"3j6x/3j6x-D-bundle2.D"	"YJL177W"	98.91	181	183	2	0	0	183	100	1	183	183	100	100	2	184	185	4e-131	367	943
"3j6x/3j6x-E-bundle2.E"	"YOL120C"	100	185	185	0	0	0	185	100	1	185	185	100	100	2	186	187	2e-132	371	952
"3j6x/3j6x-E-bundle2.E"	"YNL301C"	100	185	185	0	0	0	185	100	1	185	185	100	100	2	186	187	2e-132	371	952
"3j6x/3j6x-F-bundle2.F"	"YBR084C-A"	100	188	188	0	0	0	188	100	1	188	188	100	100	2	189	190	2e-131	369	946
"3j6x/3j6x-F-bundle2.F"	"YBL027W"	100	188	188	0	0	0	188	100	1	188	188	100	100	2	189	190	2e-131	369	946
"3j6x/3j6x-G-bundle2.G"	"YOR312C"	100	172	172	0	0	0	172	100	1	172	172	100	100	1	172	173	8e-127	356	913
"3j6x/3j6x-G-bundle2.G"	"YMR242C"	100	172	172	0	0	0	172	100	1	172	172	100	100	1	172	173	8e-127	356	913
"3j6x/3j6x-H-bundle2.H"	"YBR191W"	100	159	159	0	0	0	159	100	1	159	159	100	100	2	160	161	3e-116	328	840
"3j6x/3j6x-H-bundle2.H"	"YPL079W"	98.74	157	159	2	0	0	159	100	1	159	159	100	100	2	160	161	8e-116	327	837
"3j6x/3j6x-I-bundle2.I"	"YLR061W"	100	100	100	0	0	0	100	100	1	100	100	100	100	9	108	122	5e-69	204	518
"3j6x/3j6x-I-bundle2.I"	"YFL034C-A"	84	84	100	16	0	0	94	94	1	100	100	100	100	9	108	123	9e-49	152	384
"3j6x/3j6x-J-bundle2.J"	"YER117W"	100	136	136	0	0	0	136	100	1	136	136	100	100	2	137	138	2e-95	273	698
"3j6x/3j6x-J-bundle2.J"	"YBL087C"	100	136	136	0	0	0	136	100	1	136	136	100	100	2	137	138	2e-95	273	698
"3j6x/3j6x-K-bundle2.K"	"YGL031C"	100	61	61	0	0	0	61	100	1	61	61	100	100	1	61	156	1e-40	131	329
"3j6x/3j6x-K-bundle2.K"	"YGR148C"	98.36	60	61	1	0	0	61	100	1	61	61	100	100	1	61	156	2e-40	130	327
"3j6x/3j6x-K-bundle2.K"	"YLR009W"	49.12	28	57	29	0	0	36	63.16	1	57	61	93	93	1	57	200	2e-14	62.8	151
"3j6x/3j6x-L-bundle2.L"	"YOL127W"	100	121	121	0	0	0	121	100	1	121	121	100	100	22	142	143	6e-84	243	621
"3j6x/3j6x-M-bundle2.M"	"YLR344W"	100	126	126	0	0	0	126	100	1	126	126	100	100	2	127	128	7e-86	248	633
"3j6x/3j6x-M-bundle2.M"	"YGR034W"	99.21	125	126	1	0	0	126	100	1	126	126	100	100	2	127	128	2e-85	247	630
"3j6x/3j6x-N-bundle2.N"	"YHR010W"	100	135	135	0	0	0	135	100	1	135	135	100	100	2	136	137	5e-94	269	688
"3j6x/3j6x-N-bundle2.N"	"YDR471W"	99.26	134	135	1	0	0	134	99.26	1	135	135	100	100	2	136	137	4e-93	267	683
"3j6x/3j6x-O-bundle2.O"	"YGL103W"	100	148	148	0	0	0	148	100	1	148	148	100	100	2	149	150	4e-106	301	771
"3j6x/3j6x-P-bundle2.P"	"YFR032C-A"	100	58	58	0	0	0	58	100	1	58	58	100	100	2	59	60	4e-35	114	284
"3j6x/3j6x-Q-bundle2.Q"	"YGL030W"	100	97	97	0	0	0	97	100	1	97	97	100	100	9	105	106	4e-64	191	484
"3j6x/3j6x-R-bundle2.R"	"YDL075W"	100	109	109	0	0	0	109	100	1	109	109	100	100	4	112	114	1e-75	221	563
"3j6x/3j6x-R-bundle2.R"	"YLR406C"	99.08	108	109	1	0	0	109	100	1	109	109	100	100	4	112	114	6e-75	219	558
"3j6x/3j6x-S-bundle2.S"	"YBL092W"	100	127	127	0	0	0	127	100	1	127	127	100	100	2	128	131	9e-90	258	659
"3j6x/3j6x-T-bundle2.T"	"YPL143W"	100	106	106	0	0	0	106	100	1	106	106	100	100	2	107	108	3e-74	217	553
"3j6x/3j6x-T-bundle2.T"	"YOR234C"	99.06	105	106	1	0	0	106	100	1	106	106	100	100	2	107	108	1e-73	215	548
"3j6x/3j6x-U-bundle2.U"	"YER056C-A"	100	112	112	0	0	0	112	100	1	112	112	100	100	2	113	122	3e-78	228	580
"3j6x/3j6x-U-bundle2.U"	"YIL052C"	99.11	111	112	1	0	0	112	100	1	112	112	100	100	2	113	122	5e-78	227	579
"3j6x/3j6x-V-bundle2.V"	"YDL191W"	100	119	119	0	0	0	119	100	1	119	119	100	100	2	120	121	1e-78	229	584
"3j6x/3j6x-V-bundle2.V"	"YDL136W"	100	119	119	0	0	0	119	100	1	119	119	100	100	2	120	121	1e-78	229	584
"3j6x/3j6x-W-bundle2.W"	"YMR194W"	100	99	99	0	0	0	99	100	1	99	99	100	100	2	100	101	1e-65	194	494
"3j6x/3j6x-W-bundle2.W"	"YPL249C-A"	98.98	97	98	1	0	0	97	98.98	2	99	99	99	99	3	100	101	2e-64	191	486
"3j6x/3j6x-X-bundle2.X"	"YLR185W"	100	87	87	0	0	0	87	100	1	87	87	100	100	2	88	89	4e-58	174	442
"3j6x/3j6x-X-bundle2.X"	"YDR500C"	93.1	81	87	6	0	0	83	95.4	1	87	87	100	100	2	88	89	6e-54	164	414
"3j6x/3j6x-Y-bundle2.Y"	"YLR325C"	100	77	77	0	0	0	77	100	1	77	77	100	100	2	78	79	1e-49	152	384
"3j6x/3j6x-Z-bundle2.Z"	"YJL189W"	100	50	50	0	0	0	50	100	1	50	50	100	100	2	51	52	6e-29	97.8	242
"3j6x/3j6x-a-bundle2.a"	"YKR094C"	100	52	52	0	0	0	52	100	1	52	52	100	100	77	128	129	2e-32	108	270
"3j6x/3j6x-a-bundle2.a"	"YIL148W"	100	52	52	0	0	0	52	100	1	52	52	100	100	77	128	129	2e-32	108	270
"3j6x/3j6x-b-bundle2.b"	"YDL184C"	100	25	25	0	0	0	25	100	1	25	25	100	100	1	25	26	1e-07	41.2	95
"3j6x/3j6x-b-bundle2.b"	"YDL133C-A"	100	25	25	0	0	0	25	100	1	25	25	100	100	1	25	26	1e-07	41.2	95
"3j6x/3j6x-c-bundle2.c"	"YNL162W"	100	103	103	0	0	0	103	100	1	103	103	100	100	2	104	107	2e-68	202	513
"3j6x/3j6x-c-bundle2.c"	"YHR141C"	100	103	103	0	0	0	103	100	1	103	103	100	100	2	104	107	2e-68	202	513
"3j6x/3j6x-d-bundle2.d"	"YPR043W"	100	91	91	0	0	0	91	100	1	91	91	100	100	2	92	93	6e-60	179	455
"3j6x/3j6x-d-bundle2.d"	"YJR094W-A"	100	91	91	0	0	0	91	100	1	91	91	100	100	2	92	93	6e-60	179	455
"3j6x/3j6x-f-bundle2.f"	"YGR214W"	100	206	206	0	0	0	206	100	1	206	206	100	100	2	207	253	8e-153	426	1096
"3j6x/3j6x-f-bundle2.f"	"YLR048W"	98.54	203	206	3	0	0	205	99.51	1	206	206	100	100	2	207	253	3e-150	420	1079
"3j6x/3j6x-f-bundle2.f"	"YHL004W"	22.92	44	192	118	4	30	82	42.71	16	178	206	79	79	188	378	395	8e-11	58.5	140
"3j6x/3j6x-g-bundle2.g"	"YLR441C"	100	214	214	0	0	0	214	100	1	214	214	100	100	20	233	256	2e-158	441	1133
"3j6x/3j6x-g-bundle2.g"	"YML063W"	98.13	210	214	4	0	0	213	99.53	1	214	214	100	100	20	233	256	8e-156	434	1116
"3j6x/3j6x-h-bundle2.h"	"YGL123W"	100	217	217	0	0	0	217	100	1	217	217	100	100	34	250	255	1e-156	436	1122
"3j6x/3j6x-h-bundle2.h"	"YBR251W"	27.82	37	133	84	3	12	62	46.62	50	181	217	61	61	151	272	308	2e-04	39.3	90
"3j6x/3j6x-i-bundle2.i"	"YNL178W"	100	223	223	0	0	0	223	100	1	223	223	100	100	3	225	241	3e-162	451	1159
"3j6x/3j6x-j-bundle2.j"	"YJR145C"	100	260	260	0	0	0	260	100	1	260	260	100	100	2	261	262	0	526	1356
"3j6x/3j6x-j-bundle2.j"	"YHR203C"	100	260	260	0	0	0	260	100	1	260	260	100	100	2	261	262	0	526	1356
"3j6x/3j6x-k-bundle2.k"	"YJR123W"	100	206	206	0	0	0	206	100	1	206	206	100	100	20	225	226	1e-150	420	1079
"3j6x/3j6x-k-bundle2.k"	"YJR113C"	30.15	41	136	87	4	8	65	47.79	71	206	206	66	66	114	241	248	3e-06	44.7	104
"3j6x/3j6x-l-bundle2.l"	"YPL090C"	100	226	226	0	0	0	226	100	1	226	226	100	100	1	226	237	3e-164	456	1172
"3j6x/3j6x-l-bundle2.l"	"YBR181C"	100	226	226	0	0	0	226	100	1	226	226	100	100	1	226	237	3e-164	456	1172
"3j6x/3j6x-m-bundle2.m"	"YOR096W"	100	184	184	0	0	0	184	100	1	184	184	100	100	4	187	191	2e-130	366	940
"3j6x/3j6x-m-bundle2.m"	"YNL096C"	89.62	164	183	19	0	0	177	96.72	2	184	184	99	99	5	187	191	6e-119	337	864
"3j6x/3j6x-n-bundle2.n"	"YER102W"	94.47	188	199	0	1	11	188	94.47	1	188	188	100	100	2	200	201	6e-134	375	964
"3j6x/3j6x-n-bundle2.n"	"YBL072C"	94.47	188	199	0	1	11	188	94.47	1	188	188	100	100	2	200	201	6e-134	375	964
"3j6x/3j6x-o-bundle2.o"	"YPL081W"	100	185	185	0	0	0	185	100	1	185	185	100	100	2	186	198	1e-132	372	955
"3j6x/3j6x-o-bundle2.o"	"YBR189W"	99.46	184	185	1	0	0	185	100	1	185	185	100	100	2	186	196	3e-132	371	952
"3j6x/3j6x-o-bundle2.o"	"YHR148W"	25.58	33	129	96	0	0	64	49.61	33	161	185	70	70	36	164	184	5e-09	51.2	121
"3j6x/3j6x-p-bundle2.p"	"YOR293W"	100	96	96	0	0	0	96	100	1	96	96	100	100	1	96	106	4e-67	198	504
"3j6x/3j6x-p-bundle2.p"	"YMR230W"	97.92	94	96	2	0	0	96	100	1	96	96	100	100	1	96	106	5e-66	196	497
"3j6x/3j6x-q-bundle2.q"	"YDR025W"	100	155	155	0	0	0	155	100	1	155	155	100	100	2	156	157	3e-112	317	813
"3j6x/3j6x-q-bundle2.q"	"YBR048W"	100	155	155	0	0	0	155	100	1	155	155	100	100	2	156	157	3e-112	317	813
"3j6x/3j6x-r-bundle2.r"	"YOR369C"	100	124	124	0	0	0	124	100	1	124	124	100	100	20	143	144	3e-84	244	624
"3j6x/3j6x-r-bundle2.r"	"YDL208W"	34.25	25	73	43	2	5	39	53.42	10	79	124	56	56	41	111	157	3e-04	36.6	83
"3j6x/3j6x-s-bundle2.s"	"YDR064W"	100	150	150	0	0	0	150	100	1	150	150	100	100	2	151	152	3e-107	304	779
"3j6x/3j6x-t-bundle2.t"	"YCR031C"	100	127	127	0	0	0	127	100	1	127	127	100	100	11	137	138	4e-88	254	649
"3j6x/3j6x-t-bundle2.t"	"YJL191W"	100	127	127	0	0	0	127	100	1	127	127	100	100	12	138	139	5e-88	254	648
"3j6x/3j6x-u-bundle2.u"	"YOL040C"	100	124	124	0	0	0	124	100	1	124	124	100	100	8	131	143	3e-88	254	650
"3j6x/3j6x-u-bundle2.u"	"YNR037C"	43.14	22	51	29	0	0	33	64.71	65	115	124	41	41	29	79	92	5e-09	48.5	114
"3j6x/3j6x-v-bundle2.v"	"YMR143W"	100	141	141	0	0	0	141	100	1	141	141	100	100	3	143	144	9e-100	285	728
"3j6x/3j6x-v-bundle2.v"	"YDL083C"	100	141	141	0	0	0	141	100	1	141	141	100	100	3	143	144	9e-100	285	728
"3j6x/3j6x-v-bundle2.v"	"YBR146W"	34.12	29	85	51	2	5	42	49.41	9	91	141	59	59	158	239	279	1e-04	38.5	88
"3j6x/3j6x-w-bundle2.w"	"YML024W"	96	120	125	0	1	5	120	96	1	120	120	100	100	2	126	137	7e-82	238	607
"3j6x/3j6x-w-bundle2.w"	"YDR447C"	96	120	125	0	1	5	120	96	1	120	120	100	100	2	126	137	9e-82	238	606
"3j6x/3j6x-x-bundle2.x"	"YML026C"	100	145	145	0	0	0	145	100	1	145	145	100	100	2	146	147	4e-105	298	764
"3j6x/3j6x-x-bundle2.x"	"YDR450W"	100	145	145	0	0	0	145	100	1	145	145	100	100	2	146	147	4e-105	298	764
"3j6x/3j6x-y-bundle2.y"	"YOL121C"	100	143	143	0	0	0	143	100	1	143	143	100	100	2	144	145	3e-102	291	745
"3j6x/3j6x-y-bundle2.y"	"YNL302C"	100	142	142	0	0	0	142	100	2	143	143	99	99	3	144	145	3e-101	288	738
"3j6x/3j6x-z-bundle2.z"	"YHL015W"	100	107	107	0	0	0	107	100	1	107	107	100	100	15	121	122	2e-72	213	542
"3j6x/3j6x-0-bundle2.0"	"YKR057W"	100	87	87	0	0	0	87	100	1	87	87	100	100	1	87	88	5e-60	179	455
"3j6x/3j6x-0-bundle2.0"	"YJL136C"	98.85	86	87	1	0	0	87	100	1	87	87	100	100	1	87	88	8e-60	179	453
"3j6x/3j6x-1-bundle2.1"	"YJL190C"	100	129	129	0	0	0	129	100	1	129	129	100	100	2	130	131	4e-93	267	682
"3j6x/3j6x-1-bundle2.1"	"YLR367W"	99.22	128	129	1	0	0	129	100	1	129	129	100	100	2	130	131	8e-93	266	680
"3j6x/3j6x-2-bundle2.2"	"YPR132W"	100	144	144	0	0	0	144	100	1	144	144	100	100	2	145	146	2e-100	286	732
"3j6x/3j6x-2-bundle2.2"	"YGR118W"	100	144	144	0	0	0	144	100	1	144	144	100	100	2	145	146	2e-100	286	732
"3j6x/3j6x-2-bundle2.2"	"YNR036C"	36.25	29	80	43	4	8	51	63.75	49	128	144	56	56	59	130	154	8e-09	49.3	116
"3j6x/3j6x-3-bundle2.3"	"YIL069C"	100	134	134	0	0	0	134	100	1	134	134	100	100	2	135	136	5e-93	267	682
"3j6x/3j6x-3-bundle2.3"	"YER074W"	100	134	134	0	0	0	134	100	1	134	134	100	100	2	135	136	5e-93	267	682
"3j6x/3j6x-4-bundle2.4"	"YGR027C"	100	70	70	0	0	0	70	100	1	70	70	100	100	36	105	109	3e-45	142	357
"3j6x/3j6x-4-bundle2.4"	"YLR333C"	98.57	69	70	1	0	0	69	98.57	1	70	70	100	100	36	105	109	2e-44	140	352
"3j6x/3j6x-5-bundle2.5"	"YGL189C"	100	97	97	0	0	0	97	100	1	97	97	100	100	2	98	120	3e-65	194	493
"3j6x/3j6x-5-bundle2.5"	"YER131W"	100	97	97	0	0	0	97	100	1	97	97	100	100	2	98	120	4e-65	194	492
"3j6x/3j6x-A-bundle3.A"	"YKL156W"	100	81	81	0	0	0	81	100	1	81	81	100	100	2	82	83	4e-55	166	421
"3j6x/3j6x-A-bundle3.A"	"YHR021C"	98.77	80	81	1	0	0	81	100	1	81	81	100	100	2	82	83	7e-55	166	419
"3j6x/3j6x-B-bundle3.B"	"YLR264W"	100	63	63	0	0	0	63	100	1	63	63	100	100	5	67	68	5e-38	122	305
"3j6x/3j6x-B-bundle3.B"	"YOR167C"	100	63	63	0	0	0	63	100	1	63	63	100	100	5	67	68	7e-38	121	304
"3j6x/3j6x-C-bundle3.C"	"YLR388W"	100	53	53	0	0	0	53	100	1	53	53	100	100	4	56	57	1e-34	112	280
"3j6x/3j6x-C-bundle3.C"	"YDL061C"	90.57	48	53	5	0	0	52	98.11	1	53	53	100	100	4	56	57	6e-32	105	262
"3j6x/3j6x-D-bundle3.D"	"YOR182C"	100	60	60	0	0	0	60	100	1	60	60	100	100	2	61	64	3e-37	119	299
"3j6x/3j6x-D-bundle3.D"	"YLR287C-A"	100	60	60	0	0	0	60	100	1	60	60	100	100	2	61	64	3e-37	119	299
"3j6x/3j6x-E-bundle3.E"	"YLR167W"	100	71	71	0	0	0	71	100	1	71	71	100	100	82	152	153	1e-46	147	370
