"UniProtKB_ac"	"iso_id"	"uniprot_seq_length"	"uniprot_seq_md5"	"coordinate_id"	"provider"	"sstart2"	"send2"	"template"	"qmean"	"qmean_norm"	"seqid"	"url"	"mapid"	"Seq_similarity"	"Seq_identity"	"pdb_id2"	"Resolution"	"pdb_length"	"Coverage"	"locus"	"note"
"Q12308"	""	588	"d79bd1db95e063cc83f4f2c3c35d8d64"	"5cd74e45732c1e664b8a9baa"	"SWISSMODEL"	2	588	"2j04.1.A"	-3.9398244992	0.6213704055	100	"https://swissmodel.expasy.org/repository/uniprot/Q12308.pdb?provider=swissmodel&from=2&to=588&template=2j04.1.A&provider=swissmodel"	"2_588_2j04.1.A_5cd74e45732c1e664b8a9baa"	NA	NA	"2j04"	NA	586	0.996598639455782	"YPL007C"	NA
"P0CX29"	""	145	"a2eef4459978872c013ff2597d4ee1f4"	"5cd8aaf0a03a1b105c66cd89"	"SWISSMODEL"	2	145	"4v88.24.A"	-2.8117868057	0.6389944026	100	"https://swissmodel.expasy.org/repository/uniprot/P0CX29.pdb?provider=swissmodel&from=2&to=145&template=4v88.24.A&provider=swissmodel"	"2_145_4v88.24.A_5cd8aaf0a03a1b105c66cd89"	NA	NA	"4v88"	NA	143	0.986206896551724	"YGR118W"	NA
"Q3E7Y3"	""	130	"17cf2f94c419dc078879c583e87500f3"	"5cd923b28fd6f9d3b20e81a8"	"SWISSMODEL"	2	129	"5nwy.1.f"	-2.5423263254	0.6507455516	31.0924377441	"https://swissmodel.expasy.org/repository/uniprot/Q3E7Y3.pdb?provider=swissmodel&from=2&to=129&template=5nwy.1.f&provider=swissmodel"	"2_129_5nwy.1.f_5cd923b28fd6f9d3b20e81a8"	NA	NA	"5nwy"	NA	127	0.976923076923077	"YLR367W"	NA
"P53733"	""	91	"0ec9244be462cd97aaaf38c7347d79bf"	"5cdab593732c1e9fa7899d33"	"SWISSMODEL"	9	88	"5mrc.58.A"	-0.63027355	0.7567542491	100	"https://swissmodel.expasy.org/repository/uniprot/P53733.pdb?provider=swissmodel&from=9&to=88&template=5mrc.58.A&provider=swissmodel"	"9_88_5mrc.58.A_5cdab593732c1e9fa7899d33"	NA	NA	"5mrc"	NA	79	0.868131868131868	"YNR037C"	NA
"Q04373"	""	656	"fac17ca68e6035a88bff2eaaac2066d0"	"5cd7d75e9ffd12706478b6c1"	"SWISSMODEL"	116	655	"4wzr.2.A"	-3.5965282815	0.6420665943	25.2918281555	"https://swissmodel.expasy.org/repository/uniprot/Q04373.pdb?provider=swissmodel&from=116&to=655&template=4wzr.2.A&provider=swissmodel"	"116_655_4wzr.2.A_5cd7d75e9ffd12706478b6c1"	NA	NA	"4wzr"	NA	539	0.821646341463415	"YDR496C"	NA
"P0CX56"	""	146	"3357d89a58f09728d6194c0b2d0f4a7b"	"5cd8a6b308cc8fc19f254284"	"SWISSMODEL"	2	128	"5wlc.1.A"	-2.5830592266	0.6501970431	94.5205459595	"https://swissmodel.expasy.org/repository/uniprot/P0CX56.pdb?provider=swissmodel&from=2&to=128&template=5wlc.1.A&provider=swissmodel"	"2_128_5wlc.1.A_5cd8a6b308cc8fc19f254284"	NA	NA	"5wlc"	NA	126	0.863013698630137	"YML026C"	NA
"P0CX55"	""	146	"3357d89a58f09728d6194c0b2d0f4a7b"	"5cd8a6b308cc8fc19f254284"	"SWISSMODEL"	2	128	"5wlc.1.A"	-2.5830592266	0.6501970431	94.5205459595	"https://swissmodel.expasy.org/repository/uniprot/P0CX55.pdb?provider=swissmodel&from=2&to=128&template=5wlc.1.A&provider=swissmodel"	"2_128_5wlc.1.A_5cd8a6b308cc8fc19f254284"	NA	NA	"5wlc"	NA	126	0.863013698630137	"YDR450W"	NA
"P0CX83"	""	189	"ad8e11702e13915ab74feb295cdb8cd6"	"5cd7913d9ffd1252cba6ae1d"	"SWISSMODEL"	1	189	"4v6i.46.A"	-2.3846955795	0.6837447295	100	"https://swissmodel.expasy.org/repository/uniprot/P0CX83.pdb?provider=swissmodel&from=1&to=189&template=4v6i.46.A&provider=swissmodel"	"1_189_4v6i.46.A_5cd7913d9ffd1252cba6ae1d"	NA	NA	"4v6i"	NA	188	0.994708994708995	"YBL027W"	NA
"P0CX51"	""	143	"fe776f0b17493f231464d8a46e15412d"	"5cd8bc17a03a1bf13a51a4e3"	"SWISSMODEL"	3	143	"5mc6.6.A"	-2.2293941075	0.66667579	100	"https://swissmodel.expasy.org/repository/uniprot/P0CX51.pdb?provider=swissmodel&from=3&to=143&template=5mc6.6.A&provider=swissmodel"	"3_143_5mc6.6.A_5cd8bc17a03a1bf13a51a4e3"	NA	NA	"5mc6"	NA	140	0.979020979020979	"YMR143W"	NA
"P39516"	""	138	"9cf5668fc5032e5ea6acd29a42123286"	"5cd8e6c6a03a1b10008a2639"	"SWISSMODEL"	11	138	"6hhq.134.A"	-1.3579866041	0.7144806486	100	"https://swissmodel.expasy.org/repository/uniprot/P39516.pdb?provider=swissmodel&from=11&to=138&template=6hhq.134.A&provider=swissmodel"	"11_138_6hhq.134.A_5cd8e6c6a03a1b10008a2639"	NA	NA	"6hhq"	NA	127	0.920289855072464	"YJL191W"	NA
"P0CX47"	""	156	"3090cf50aad3986752436af2f0d624b0"	"5cd85a991a200ba1b126d536"	"SWISSMODEL"	2	156	"5i4l.12.A"	-2.8288754879	0.6369283488	100	"https://swissmodel.expasy.org/repository/uniprot/P0CX47.pdb?provider=swissmodel&from=2&to=156&template=5i4l.12.A&provider=swissmodel"	"2_156_5i4l.12.A_5cd85a991a200ba1b126d536"	NA	NA	"5i4l"	NA	154	0.987179487179487	"YDR025W"	NA
"P32797"	""	924	"ce714945c3a747126a0081b6c0cdbd26"	"5cd9926d3b85d15d931900a1"	"SWISSMODEL"	13	224	"3nwt.1.B"	-3.462038776	0.650808222	100	"https://swissmodel.expasy.org/repository/uniprot/P32797.pdb?provider=swissmodel&from=13&to=224&template=3nwt.1.B&provider=swissmodel"	"13_224_3nwt.1.B_5cd9926d3b85d15d931900a1"	NA	NA	"3nwt"	NA	211	0.228354978354978	"YDL220C"	NA
"P32797"	""	924	"ce714945c3a747126a0081b6c0cdbd26"	"5cd9926d3b85d15d9319009d"	"SWISSMODEL"	346	475	"4hce.1.B"	-2.2205972415	0.6856713742	100	"https://swissmodel.expasy.org/repository/uniprot/P32797.pdb?provider=swissmodel&from=346&to=475&template=4hce.1.B&provider=swissmodel"	"346_475_4hce.1.B_5cd9926d3b85d15d9319009d"	NA	NA	"4hce"	NA	129	0.13961038961039	"YDL220C"	NA
"P25620"	""	114	"4deab739ef3ce973bc6261b9c8641b0e"	"5cd9cc168fd6f9da62729fba"	"SWISSMODEL"	27	58	"2db2.1.A"	-2.2492973323	0.5164636442	31.0344829559	"https://swissmodel.expasy.org/repository/uniprot/P25620.pdb?provider=swissmodel&from=27&to=58&template=2db2.1.A&provider=swissmodel"	"27_58_2db2.1.A_5cd9cc168fd6f9da62729fba"	NA	NA	"2db2"	NA	31	0.271929824561404	"YCR022C"	NA
"P54786"	""	942	"8cc75f16fbfd321833abc48fd1173154"	"5a80962f7f4bf99c54494031"	"SWISSMODEL"	855	880	"4pdn.1.A"	-1.6470657352	0.5845028992	31.5789470673	"https://swissmodel.expasy.org/repository/uniprot/P54786.pdb?provider=swissmodel&from=855&to=880&template=4pdn.1.A&provider=swissmodel"	"855_880_4pdn.1.A_5a80962f7f4bf99c54494031"	NA	NA	"4pdn"	NA	25	0.0265392781316348	"YML109W"	NA
"P20434"	""	215	"93c158a5afce1e4333573d5b2e77ac51"	"5cd70754d60c5999e5249dbb"	"SWISSMODEL"	2	215	"3gto.1.D"	-3.2329462634	0.6506839529	100	"https://swissmodel.expasy.org/repository/uniprot/P20434.pdb?provider=swissmodel&from=2&to=215&template=3gto.1.D&provider=swissmodel"	"2_215_3gto.1.D_5cd70754d60c5999e5249dbb"	NA	NA	"3gto"	NA	213	0.990697674418605	"YBR154C"	NA
"P53117"	""	311	"c8ab4049651ef61983eb024460ca9b14"	"5cd5203d3b85d1de31614f18"	"SWISSMODEL"	102	214	"5azx.1.A"	-3.400511172	0.6172874694	15.7303371429	"https://swissmodel.expasy.org/repository/uniprot/P53117.pdb?provider=swissmodel&from=102&to=214&template=5azx.1.A&provider=swissmodel"	"102_214_5azx.1.A_5cd5203d3b85d1de31614f18"	NA	NA	"5azx"	NA	112	0.360128617363344	"YGL146C"	NA
"P25333"	""	603	"4a5d17027fc4bd5da5f41394a85cb16b"	"5cd76e6a9ffd121d5f0f91e5"	"SWISSMODEL"	308	594	"4ifg.1.A"	-2.5900058221	0.6706498284	31.2030067444	"https://swissmodel.expasy.org/repository/uniprot/P25333.pdb?provider=swissmodel&from=308&to=594&template=4ifg.1.A&provider=swissmodel"	"308_594_4ifg.1.A_5cd76e6a9ffd121d5f0f91e5"	NA	NA	"4ifg"	NA	286	0.474295190713101	"YCR008W"	NA
"Q06522"	""	304	"b71a0a1b690c7736acc5d94ae9561383"	"5a7cf823c730d40d85d3f097"	"SWISSMODEL"	5	136	"5bov.1.A"	-3.4272878372	0.5970324367	16.806722641	"https://swissmodel.expasy.org/repository/uniprot/Q06522.pdb?provider=swissmodel&from=5&to=136&template=5bov.1.A&provider=swissmodel"	"5_136_5bov.1.A_5a7cf823c730d40d85d3f097"	NA	NA	"5bov"	NA	131	0.430921052631579	"YPR147C"	NA
"Q08746"	""	203	"94e74ff911bf28b3582b0dce278f77dc"	"5cd744e03b85d132ebdb856e"	"SWISSMODEL"	9	201	"3jct.1.m"	-3.9942477992	0.6204129642	100	"https://swissmodel.expasy.org/repository/uniprot/Q08746.pdb?provider=swissmodel&from=9&to=201&template=3jct.1.m&provider=swissmodel"	"9_201_3jct.1.m_5cd744e03b85d132ebdb856e"	NA	NA	"3jct"	NA	192	0.945812807881773	"YOR294W"	NA
"P10849"	""	440	"ced5ae90025b5a3899ad10140b3bf195"	"5a87dbf1ad01f070fb6d883f"	"SWISSMODEL"	277	384	"5iwb.1.B"	-3.1772433471	0.6237595848	10.5263156891	"https://swissmodel.expasy.org/repository/uniprot/P10849.pdb?provider=swissmodel&from=277&to=384&template=5iwb.1.B&provider=swissmodel"	"277_384_5iwb.1.B_5a87dbf1ad01f070fb6d883f"	NA	NA	"5iwb"	NA	107	0.243181818181818	"YDL044C"	NA
"Q06506"	""	573	"591ecae18a13d2a736e80bf76337c14a"	"5cd730a708cc8f1bb7b0e18c"	"SWISSMODEL"	130	570	"4j0x.1.A"	-2.9379178778	0.6734570628	100	"https://swissmodel.expasy.org/repository/uniprot/Q06506.pdb?provider=swissmodel&from=130&to=570&template=4j0x.1.A&provider=swissmodel"	"130_570_4j0x.1.A_5cd730a708cc8f1bb7b0e18c"	NA	NA	"4j0x"	NA	440	0.767888307155323	"YPR137W"	NA
"Q12149"	""	733	"930e211bc305ccf1d0d0c10d8cc33325"	"5cd86df4732c1e301644fe3b"	"SWISSMODEL"	5	615	"5c0w.1.K"	-1.6409759036	0.7085268398	99.7114028931	"https://swissmodel.expasy.org/repository/uniprot/Q12149.pdb?provider=swissmodel&from=5&to=615&template=5c0w.1.K&provider=swissmodel"	"5_615_5c0w.1.K_5cd86df4732c1e301644fe3b"	NA	NA	"5c0w"	NA	610	0.832196452933151	"YOR001W"	NA
"P25368"	""	297	"ccb7bab09e8ee784a597f32b85b48d42"	"5cd579ff3b85d1fc89988b7e"	"SWISSMODEL"	3	189	"4m5d.1.B"	-0.9609497622	0.7452016328	100	"https://swissmodel.expasy.org/repository/uniprot/P25368.pdb?provider=swissmodel&from=3&to=189&template=4m5d.1.B&provider=swissmodel"	"3_189_4m5d.1.B_5cd579ff3b85d1fc89988b7e"	NA	NA	"4m5d"	NA	186	0.626262626262626	"YCL031C"	NA
"P14020"	""	267	"1ff903d8dfdccd906278a19e58e3e3a6"	"5cd601468fd6f97f3794af0f"	"SWISSMODEL"	3	234	"5mlz.1.A"	-2.1893344147	0.6904733556	45.2054786682	"https://swissmodel.expasy.org/repository/uniprot/P14020.pdb?provider=swissmodel&from=3&to=234&template=5mlz.1.A&provider=swissmodel"	"3_234_5mlz.1.A_5cd601468fd6f97f3794af0f"	NA	NA	"5mlz"	NA	231	0.865168539325843	"YPR183W"	NA
"P38792"	""	359	"f87d3ed5b7a8605891d73a1f43a37e1c"	"5cdd4212732c1e3318b16fe8"	"SWISSMODEL"	2	357	"4ifd.1.H"	-2.1206085184	0.7006923321	100	"https://swissmodel.expasy.org/repository/uniprot/P38792.pdb?provider=swissmodel&from=2&to=357&template=4ifd.1.H&provider=swissmodel"	"2_357_4ifd.1.H_5cdd4212732c1e3318b16fe8"	NA	NA	"4ifd"	NA	355	0.988857938718663	"YHR069C"	NA
"P0CH08"	""	128	"885d51857bd1031bbb3d10946aba2348"	"5cd935a09ffd12bb7ab1b045"	"SWISSMODEL"	2	83	"2kdi.1.A"	-2.0603191237	0.6611835336	87.8048782349	"https://swissmodel.expasy.org/repository/uniprot/P0CH08.pdb?provider=swissmodel&from=2&to=83&template=2kdi.1.A&provider=swissmodel"	"2_83_2kdi.1.A_5cd935a09ffd12bb7ab1b045"	NA	NA	"2kdi"	NA	81	0.6328125	"YIL148W"	NA
"P0CH08"	""	128	"885d51857bd1031bbb3d10946aba2348"	"5cd935a09ffd12bb7ab1b041"	"SWISSMODEL"	77	128	"4v88.72.A"	-0.3800820957	0.7461272336	100	"https://swissmodel.expasy.org/repository/uniprot/P0CH08.pdb?provider=swissmodel&from=77&to=128&template=4v88.72.A&provider=swissmodel"	"77_128_4v88.72.A_5cd935a09ffd12bb7ab1b041"	NA	NA	"4v88"	NA	51	0.3984375	"YIL148W"	NA
"Q12277"	""	265	"eb409958aac3cf83ee4c36864795597c"	"5cd60901732c1eed1bf30bb3"	"SWISSMODEL"	1	265	"5g06.1.E"	-0.8140257224	0.7440112068	99.6226425171	"https://swissmodel.expasy.org/repository/uniprot/Q12277.pdb?provider=swissmodel&from=1&to=265&template=5g06.1.E&provider=swissmodel"	"1_265_5g06.1.E_5cd60901732c1eed1bf30bb3"	NA	NA	"5g06"	NA	264	0.99622641509434	"YDL111C"	NA
"P38712"	""	501	"9b5541c909fb0408c1b2ecca643bde35"	"5cd6677d1a200b41dcb44da6"	"SWISSMODEL"	72	444	"4c9b.1.A"	-2.6858885639	0.6760651335	32.0754699707	"https://swissmodel.expasy.org/repository/uniprot/P38712.pdb?provider=swissmodel&from=72&to=444&template=4c9b.1.A&provider=swissmodel"	"72_444_4c9b.1.A_5cd6677d1a200b41dcb44da6"	NA	NA	"4c9b"	NA	372	0.74251497005988	"YHR065C"	NA
"P43555"	""	445	"b21d5836bac9b6906145f172b2428959"	"5cd5ab6ea03a1b4483f5d861"	"SWISSMODEL"	36	277	"2a6y.1.A"	-2.1887731609	0.6877226919	98.818901062	"https://swissmodel.expasy.org/repository/uniprot/P43555.pdb?provider=swissmodel&from=36&to=277&template=2a6y.1.A&provider=swissmodel"	"36_277_2a6y.1.A_5cd5ab6ea03a1b4483f5d861"	NA	NA	"2a6y"	NA	241	0.541573033707865	"YFL048C"	NA
"P43555"	""	445	"b21d5836bac9b6906145f172b2428959"	"5cd5ab6ea03a1b4483f5d865"	"SWISSMODEL"	303	421	"2iub.1.A"	-2.6599272649	0.6437968963	14.2857141495	"https://swissmodel.expasy.org/repository/uniprot/P43555.pdb?provider=swissmodel&from=303&to=421&template=2iub.1.A&provider=swissmodel"	"303_421_2iub.1.A_5cd5ab6ea03a1b4483f5d865"	NA	NA	"2iub"	NA	118	0.265168539325843	"YFL048C"	NA
"Q06511"	""	250	"f07d18b1b26a933a139faf659ae82aa5"	"5cd653b63b85d1c1bb7f2318"	"SWISSMODEL"	174	243	"6c0f.1.e"	-0.0230308156	0.797445346	100	"https://swissmodel.expasy.org/repository/uniprot/Q06511.pdb?provider=swissmodel&from=174&to=243&template=6c0f.1.e&provider=swissmodel"	"174_243_6c0f.1.e_5cd653b63b85d1c1bb7f2318"	NA	NA	"6c0f"	NA	69	0.276	"YPR143W"	NA
"Q07500"	""	545	"71dd1a6d5f11d48d79664b5b29bd4262"	"5cd6eb483b85d1952921a35b"	"SWISSMODEL"	97	542	"5yjw.1.A"	-2.2660116783	0.68571177	48.0549201965	"https://swissmodel.expasy.org/repository/uniprot/Q07500.pdb?provider=swissmodel&from=97&to=542&template=5yjw.1.A&provider=swissmodel"	"97_542_5yjw.1.A_5cd6eb483b85d1952921a35b"	NA	NA	"5yjw"	NA	445	0.81651376146789	"YDL085W"	NA
"P26364"	""	225	"61b3dcab89302f16ed24324ba8962c0a"	"5cd6d11e08cc8f512a325268"	"SWISSMODEL"	12	224	"2ak3.2.A"	0.4838016256	0.8038328557	46.7980308533	"https://swissmodel.expasy.org/repository/uniprot/P26364.pdb?provider=swissmodel&from=12&to=224&template=2ak3.2.A&provider=swissmodel"	"12_224_2ak3.2.A_5cd6d11e08cc8f512a325268"	NA	NA	"2ak3"	NA	212	0.942222222222222	"YER170W"	NA
"P38710"	""	295	"df2ee2f84285eb5751a8b5e0752f590a"	"5cd5873ea03a1b1cff225c63"	"SWISSMODEL"	5	286	"2hhm.1.B"	-3.0731323007	0.6606472923	34.3396224976	"https://swissmodel.expasy.org/repository/uniprot/P38710.pdb?provider=swissmodel&from=5&to=286&template=2hhm.1.B&provider=swissmodel"	"5_286_2hhm.1.B_5cd5873ea03a1b1cff225c63"	NA	NA	"2hhm"	NA	281	0.952542372881356	"YHR046C"	NA
"P36080"	""	434	"30ba91ac59abf581192a480b30aa5318"	"5cd582d11a200b5e447d17bf"	"SWISSMODEL"	296	393	"6c0f.1.X"	1.9772284844	0.9078873911	100	"https://swissmodel.expasy.org/repository/uniprot/P36080.pdb?provider=swissmodel&from=296&to=393&template=6c0f.1.X&provider=swissmodel"	"296_393_6c0f.1.X_5cd582d11a200b5e447d17bf"	NA	NA	"6c0f"	NA	97	0.223502304147465	"YKL082C"	NA
"Q04712"	""	507	"bb2bc54e646f57f2cc996ab0351d3145"	"58e102d1b4c268bfecbc982b"	"SWISSMODEL"	214	376	"3ieg.1.A"	-3.9397440586	0.599032746	9.9337749481	"https://swissmodel.expasy.org/repository/uniprot/Q04712.pdb?provider=swissmodel&from=214&to=376&template=3ieg.1.A&provider=swissmodel"	"214_376_3ieg.1.A_58e102d1b4c268bfecbc982b"	NA	NA	"3ieg"	NA	162	0.319526627218935	"YML043C"	NA
"Q05468"	""	723	"527a615a89a279c6f49b4ee359b40924"	"5cd8567d08cc8ff847a96849"	"SWISSMODEL"	360	538	"4hoq.1.A"	-3.6334708822	0.6259862888	14.2045450211	"https://swissmodel.expasy.org/repository/uniprot/Q05468.pdb?provider=swissmodel&from=360&to=538&template=4hoq.1.A&provider=swissmodel"	"360_538_4hoq.1.A_5cd8567d08cc8ff847a96849"	NA	NA	"4hoq"	NA	178	0.246196403872752	"YDR333C"	NA
"P38126"	""	564	"683f98de4eb6b10cab820904d1ec3663"	"5cd71a1008cc8f6e0e2b6fd4"	"SWISSMODEL"	249	562	"4xgu.1.F"	-2.5733423074	0.6811917932	35.7142868042	"https://swissmodel.expasy.org/repository/uniprot/P38126.pdb?provider=swissmodel&from=249&to=562&template=4xgu.1.F&provider=swissmodel"	"249_562_4xgu.1.F_5cd71a1008cc8f6e0e2b6fd4"	NA	NA	"4xgu"	NA	313	0.554964539007092	"YBR186W"	NA
"P13433"	""	1351	"0974f4adae6bd46157ddef6689f573e4"	"5cdb388bd60c59d6285505d4"	"SWISSMODEL"	401	1230	"1msw.1.D"	-3.7541282139	0.6313925068	26.8292675018	"https://swissmodel.expasy.org/repository/uniprot/P13433.pdb?provider=swissmodel&from=401&to=1230&template=1msw.1.D&provider=swissmodel"	"401_1230_1msw.1.D_5cdb388bd60c59d6285505d4"	NA	NA	"1msw"	NA	829	0.613619541080681	"YFL036W"	NA
