ortholog	pan id	gene id	sequence id of ingroup best hit	taxonomy id of ingroup best hit	evalue of ingroup best hit	sequence id of outgroup best hit	taxonomy id of outgroup best hit	evalue of outgroup best hit	alien index	outgroup percentage	HGT or not
OG8167	yHMPu5000041855_Candida_ascalaphidarum@Seq_2625	yHMPu5000034710_Kluyveromyces_dobzhanskii@Seq_1202	OAJ21731.1-117179-Tilletia_walkeri-Basidiomyc	117179	5e-42	WP_018418576.1-935543-Burkholderia_sp_W-Proteobac	935543	4e-83	94.62913236407009	98.6666666666667	Yes
OG8167	yHMPu5000041855_Candida_ascalaphidarum@Seq_2625	yHMPu5000035031_Candida_kruisii@Seq_5511	KFZ18080.1-1420915-Pseudogymnoascus_-Leotiomyce	1420915	2e-91	WP_043668726.1-285514-Streptomyces_xylo-Actinobac	285514	2e-129	87.49823353377374	96.0	Yes
OG8167	yHMPu5000041855_Candida_ascalaphidarum@Seq_2625	yHMPu5000035031_Candida_kruisii@Seq_744	KFZ18080.1-1420915-Pseudogymnoascus_-Leotiomyce	1420915	1e-86	WP_019062668.1-67348-Streptomyces_prun-Actinobact	67348	3e-126	91.00479143109371	97.0	Yes
OG8167	yHMPu5000041855_Candida_ascalaphidarum@Seq_2625	yHMPu5000035033_Candida_cretensis@Seq_2369	KFZ18080.1-1420915-Pseudogymnoascus_-Leotiomyce	1420915	1e-84	WP_020419312.1-385957-Amycolatopsis_sp_-Actinobac	385957	2e-125	93.71284163219593	96.6666666666667	Yes
OG8167	yHMPu5000041855_Candida_ascalaphidarum@Seq_2625	Candida_versatilis@Seq_3595	CVL07273.1-948311-Fusarium_prolifer-Sordariomy	948311	5e-54	WP_011354781.1-482957-Burkholderia_lata-Proteobac	482957	2e-99	104.53261991660621	100.0	Yes
OG8167	yHMPu5000041855_Candida_ascalaphidarum@Seq_2625	Kluyveromyces_lactis@Seq_3204	XP_007878358.1-1277687-Anthracocystis_fl-Basidiom	1277687	1e-45	SDY74788.1-595670-Acinetobacter_kyo-Proteobact	595670	4e-83	86.11193917265385	98.6666666666667	Yes
OG8167	yHMPu5000041855_Candida_ascalaphidarum@Seq_2625	yHMPu5000035031_Candida_kruisii@Seq_2980	KFY91017.1-1420913-Pseudogymnoascus_-Leotiomyce	1420913	3e-85	WP_073447171.1-156453-Streptomyces_yunn-Actinobac	156453	2e-128	99.41662410685217	96.0	Yes
OG8167	yHMPu5000041855_Candida_ascalaphidarum@Seq_2625	yHMPu5000041855_Candida_ascalaphidarum@Seq_2625	XP_018148114.1-1380566-Pochonia_chlamydo-Sordario	1380566	3e-78	WP_039732941.1-66229-Komagataeibacter_-Proteobact	66229	1e-130	120.8330371243585	97.3333333333333	Yes
OG5620	yHMPu5000034671_Blastobotrys_peoriensis@Seq_241	Candida_versatilis@Seq_696	KZL77999.1-708197-Colletotrichum_to-Sordariomy	708197	3e-47	WP_043837958.1-452982-Roseomonas_aerila-Proteobac	452982	2e-94	108.62696447882833	100.0	Yes
OG5620	yHMPu5000034671_Blastobotrys_peoriensis@Seq_241	Wickerhamiella_domercqiae@Seq_850	XP_007299152.1-721885-Stereum_hirsutum_-Basidiomy	721885	4e-46	WP_026019338.1-438-Acetobacter_paste-Proteobact	438	6e-134	202.22202307536787	100.0	Yes
OG5620	yHMPu5000034671_Blastobotrys_peoriensis@Seq_241	Wickerhamiella_domercqiae@Seq_2732	EIE80482.1-246409-Rhizopus_delemar_-other_Fung	246409	4e-19	WP_010217498.1-1112213-Sphingomonas_sp_P-Proteoba	1112213	3e-99	184.49448951197542	99.6666666666667	Yes
OG1105	Metschnikowia_santaceciliae@Seq_5740	Candida_versatilis@Seq_3164	XP_014174389.1-655863-Grosmannia_clavig-Sordariom	655863	4e-121	WP_025733464.1-64323-Carnimonas_nigrif-Proteobact	64323	0.0	183.29051670764954	100.0	Yes
OG6088	Arxula_adeninivorans@Seq_5367	yHMPu5000034646_Wickerhamiella_cacticola@Seq_2125	ADM36015.1-162425-Aspergillus_nidul-Eurotiomyc	162425	5e-173	SDG19793.1-104663-Chitinophaga_fili-BacteroChl	104663	0.0	63.77923542327335	100.0	Yes
OG6088	Arxula_adeninivorans@Seq_5367	yHMPu5000034646_Wickerhamiella_cacticola@Seq_3123	ADM36015.1-162425-Aspergillus_nidul-Eurotiomyc	162425	5e-173	SDG19793.1-104663-Chitinophaga_fili-BacteroChl	104663	0.0	63.77923542327335	100.0	Yes
OG59665	Candida_versatilis@Seq_2648	Candida_versatilis@Seq_128	XP_013341391.1-1043005-Aureobasidium_sub-Dothideo	1043005	1e-80	WP_017909590.1-1240783-Xanthomonas_sp_SH-Proteoba	1240783	0.0	276.3102111592855	99.6666666666667	Yes
OG59665	Candida_versatilis@Seq_2648	Candida_versatilis@Seq_2648	EYE96875.1-1388766-Aspergillus_ruber-Eurotiomyc	1388766	6e-71	WP_060748033.1-343-Xanthomonas_trans-Proteobact	343	0.0	298.82523646545997	99.6666666666667	Yes
