gene_id	OG
yHMPu5000034760_Lipomyces_kononenkoae@Seq_4655	OG5620
Lipomyces_starkeyi@Seq_3139	OG1260
yHMPu5000034758_Lipomyces_japonicus@Seq_1138	OG5525
yHMPu5000035244_Candida_incommunis@Seq_2666	OG1040
yHMPu5000034670_Blastobotrys_proliferans@Seq_4980	OG1260
yHMPu5000034681_Blastobotrys_americana@Seq_3531	OG1260
yHMPu5000034674_Blastobotrys_muscicola@Seq_5599	OG6904
Starmerella_bombicola_JCM9596@Seq_4683	OG3790
Candida_versatilis@Seq_4614	OG1151
Millerozyma_acaciae@Seq_3280	OG8167
yHMPu5000035643_Yarrowia_bubula@Seq_5871	OG1075
yHMPu5000035665_Middelhovenomyces_tepae@Seq_1803	OG6904
yHMPu5000034760_Lipomyces_kononenkoae@Seq_3116	OG1040
Spathaspora_passalidarum@Seq_3246	OG9265
Arxula_adeninivorans@Seq_4081	OG6904
yHMPu5000035691_Candida_salmanticensis@Seq_2861	OG6904
Starmerella_bombicola_JCM9596@Seq_576	OG1075
Spathaspora_hagerdaliae@Seq_5849	OG9265
yHMPu5000034671_Blastobotrys_peoriensis@Seq_3773	OG6904
yHMPu5000035244_Candida_incommunis@Seq_1832	OG1040
Lipomyces_starkeyi@Seq_6936	OG6904
yHMPu5000035282_Trigonopsis_vinaria@Seq_119	OG6904
yHMPu5000034950_Citeromyces_hawaiiensis@Seq_3032	OG3393
yHMPu5000034605_Spencermartinsiella_europaea@Seq_5272	OG6904
Sugiyamaella_lignohabitans@Seq_4006	OG1260
Arxula_adeninivorans@Seq_5024	OG3790
yHMPu5000034761_Lipomyces_lipofer@Seq_5367	OG3790
yHMPu5000034669_Blastobotrys_raffinofermentans@Seq_2667	OG3790
yHMPu5000034671_Blastobotrys_peoriensis@Seq_628	OG9265
yHMPu5000034757_Lipomyces_doorenjongii@Seq_3760	OG1260
yHMPu5000035244_Candida_incommunis@Seq_1213	OG6904
yHMPu5000034681_Blastobotrys_americana@Seq_3110	OG5525
yHMPu5000035243_Zygoascus_meyerae@Seq_1	OG6904
yHMPu5000034760_Lipomyces_kononenkoae@Seq_6502	OG6904
yHMPu5000034933_Kuraishia_molischiana@Seq_2631	OG5525
Saccharomycopsis_malanga@Seq_5514	OG8167
Lipomyces_starkeyi@Seq_128	OG6904
Kuraishia_capsulata@Seq_652	OG5525
Spathaspora_girioi@Seq_1799	OG9265
Yarrowia_deformans@Seq_714	OG1075
Kuraishia_capsulata@Seq_1655	OG3393
yHMPu5000034667_Blastobotrys_serpentis@Seq_1394	OG15074
yHMPu5000034671_Blastobotrys_peoriensis@Seq_808	OG9265
yHMPu5000034675_Blastobotrys_mokoenaii@Seq_4386	OG6904
yHMPu5000034742_Lipomyces_suomiensis@Seq_2490	OG11610
yHMPu5000034605_Spencermartinsiella_europaea@Seq_4196	OG1260
yHMPu5000034605_Spencermartinsiella_europaea@Seq_1818	OG9265
yHMPu5000035691_Candida_salmanticensis@Seq_4107	OG6904
Arxula_adeninivorans@Seq_5087	OG1260
yHMPu5000034754_Lipomyces_arxii@Seq_1471	OG1040
yHMPu5000034760_Lipomyces_kononenkoae@Seq_3609	OG11610
Saccharomycopsis_malanga@Seq_3698	OG8167
Lipomyces_starkeyi@Seq_4367	OG65956
yHMPu5000034892_Ogataea_pilisensis@Seq_4642	OG5525
yHMPu5000034742_Lipomyces_suomiensis@Seq_483	OG6904
yHMPu5000034669_Blastobotrys_raffinofermentans@Seq_4673	OG3790
yHMPu5000034671_Blastobotrys_peoriensis@Seq_933	OG1040
yHMPu5000034660_Diddensiella_caesifluorescens@Seq_1274	OG15074
Wickerhamiella_domercqiae@Seq_1157	OG1075
yHMPu5000034670_Blastobotrys_proliferans@Seq_2343	OG1075
yHMPu5000034758_Lipomyces_japonicus@Seq_472	OG11610
yHMPu5000034673_Blastobotrys_nivea@Seq_7256	OG1260
yHMPu5000034749_Lipomyces_mesembrius@Seq_2284	OG6904
yHMPu5000034760_Lipomyces_kononenkoae@Seq_805	OG1013
Spathaspora_passalidarum@Seq_2084	OG9265
yHMPu5000034754_Lipomyces_arxii@Seq_2009	OG6904
yHMPu5000034669_Blastobotrys_raffinofermentans@Seq_3737	OG6904
Arxula_adeninivorans@Seq_1781	OG9265
Lipomyces_starkeyi@Seq_4001	OG1040
yHMPu5000034660_Diddensiella_caesifluorescens@Seq_2578	OG6904
yHMPu5000034999_Cephaloascus_fragrans@Seq_3978	OG3393
yHMPu5000034760_Lipomyces_kononenkoae@Seq_3433	OG1260
