"locus"	"pdbid"	"sstart2"	"send2"	"qstart2"	"qend2"	"strain_type"	"p_value"
"YIL148W"	"77_128_4v88.72.A_5cd935a09ffd12bb7ab1b041"	77	128	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDL111C"	"1_265_5g06.1.E_5cd60901732c1eed1bf30bb3"	1	265	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YHR065C"	"72_444_4c9b.1.A_5cd6677d1a200b41dcb44da6"	72	444	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YFL048C"	"36_277_2a6y.1.A_5cd5ab6ea03a1b4483f5d861"	36	277	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YFL048C"	"303_421_2iub.1.A_5cd5ab6ea03a1b4483f5d865"	303	421	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YPR143W"	"174_243_6c0f.1.e_5cd653b63b85d1c1bb7f2318"	174	243	NA	NA	"dN_dS_max_gap_ratio_0.3"	"NA"
"YDL085W"	"97_542_5yjw.1.A_5cd6eb483b85d1952921a35b"	97	542	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YER170W"	"12_224_2ak3.2.A_5cd6d11e08cc8f512a325268"	12	224	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YHR046C"	"5_286_2hhm.1.B_5cd5873ea03a1b1cff225c63"	5	286	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YKL082C"	"296_393_6c0f.1.X_5cd582d11a200b5e447d17bf"	296	393	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YML043C"	"214_376_3ieg.1.A_58e102d1b4c268bfecbc982b"	214	376	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDR333C"	"360_538_4hoq.1.A_5cd8567d08cc8ff847a96849"	360	538	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YBR186W"	"249_562_4xgu.1.F_5cd71a1008cc8f6e0e2b6fd4"	249	562	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YFL036W"	"401_1230_1msw.1.D_5cdb388bd60c59d6285505d4"	401	1230	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDR427W"	"6_393_5mpd.1.M_5cd4e287d60c595c2ac495cb"	6	393	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YOR261C"	"1_298_5mpd.1.L_5cd495fb9ffd124b715f83a4"	1	298	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YPR108W"	"23_422_5wvk.1.c_5cd5701d9ffd129ecbc19053"	23	422	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDL097C"	"1_434_5mpb.1.h_5cd5824e1a200b4ab75ec8f4"	1	434	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDL097C"	"1_434_5mpd.1.J_5cd5824e1a200b4ab75ec8f0"	1	434	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YIL075C"	"4_925_5mpb.1.e_5cd9b0f9d60c5906d8eaa3be"	4	925	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YKL059C"	"250_354_4s3o.1.B_5cd59d03732c1ec0bfa92950"	250	354	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YKL059C"	"2_106_6i1d.1.B_5cd59d03732c1ec0bfa9294c"	2	106	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YKL059C"	"2_106_6i1d.1.B_5cd59d03732c1ec0bfa9294c"	2	106	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YKR095W-A"	"8_88_4wx8.1.B_5cdadacdd60c59e632435f83"	8	88	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YGL004C"	"1_416_3vl1.1.A_5cd542443b85d19df7870d90"	1	416	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YPR055W"	"28_149_4fzs.1.A_5cda34548fd6f983abe7acb6"	28	149	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YFR004W"	"18_306_5mpd.1.B_5cd548b1a03a1b8e582a3fdb"	18	306	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDR066C"	"3_162_5c2y.1.A_5cd76af408cc8f954605ae22"	3	162	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YFR052W"	"1_272_5wvk.1.e_5cd5e2ac08cc8f438948f790"	1	272	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YHR200W"	"1_197_6j2c.1.h_5cd5fa813b85d1b135e2cfbd"	1	197	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDR373W"	"14_171_1dtl.1.A_5cd78c4ed60c5959099048dc"	14	171	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDR373W"	"14_171_1aj4.1.A_5cd78c4ed60c5959099048d8"	14	171	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDR373W"	"14_171_2jtz.1.A_5cd78c4ed60c5959099048d4"	14	171	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YLR097C"	"11_50_5fzr.1.A_5c9b7b79d60c5918bfb5de4a"	11	50	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YIL068C"	"411_805_2fji.1.A_5a6efcc6afa358538a8078d9"	411	805	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YIL068C"	"18_49_2odu.1.A_5a6efcc6afa358538a8078dd"	18	49	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YER169W"	"8_373_5fjh.1.A_5cd8cf4a1a200b4132473aba"	8	373	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YJR068W"	"26_353_1sxj.1.D_5cdd39b31a200b54cf25f665"	26	353	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YHR088W"	"8_295_6c0f.1.K_5cd588311a200b4ffea732ad"	8	295	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YJL121C"	"6_235_3ovp.1.B_5cd6910cd60c599abdc47f1a"	6	235	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YNL330C"	"18_380_5ix0.1.A_5cd57e348fd6f962ca967e0a"	18	380	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YGL076C"	"6_244_4v6i.57.A_5cd6718cd60c5930874ec9c0"	6	244	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDL200C"	"3_180_1sfe.1.A_5cd797d9d60c59c330669fea"	3	180	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YNL064C"	"2_355_4j80.2.B_5cd51bcf9ffd123c7b7d725a"	2	355	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YLL026W"	"165_884_5vjh.1.B_5cd97b3308cc8fbfeccacaed"	165	884	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDR045C"	"1_110_5fj9.1.I_5cd9f22c9ffd12b46461d31c"	1	110	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YOL005C"	"1_115_5c44.1.K_5cd97faf8fd6f9fa0a532287"	1	115	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YPR110C"	"1_335_5fja.1.C_5cd4a31908cc8fbd25395618"	1	335	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YPR160W"	"27_901_1ygp.1.A_5cd96fc8a03a1b6b4172849b"	27	901	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YOR210W"	"1_69_4c3j.1.J_5cdb781d3b85d146c127b1c5"	1	69	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YNL248C"	"8_403_5w66.1.M_5cd531343b85d13dcb6124dc"	8	403	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YHL013C"	"140_306_3tmp.2.A_5cd541de08cc8f080d501824"	140	306	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YKL098W"	"219_326_3nbx.1.A_5cdd3488732c1e2291609055"	219	326	NA	NA	"dN_dS_max_gap_ratio_0.3"	"NA"
"YBL021C"	"35_126_4g92.1.B_5cd8b53fa03a1be8e173482e"	35	126	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YJR063W"	"2_125_4c2m.1.I_5cd950e03b85d1c680fd5fef"	2	125	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDR156W"	"12_100_5m5x.1.D_5cd8ec1bd60c591404cf411e"	12	100	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YMR239C"	"184_459_5t16.1.A_5cd6019a08cc8f8f665819e1"	184	459	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YMR239C"	"43_159_5t16.2.F_5cd6019a08cc8f8f665819d9"	43	159	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YMR256C"	"2_60_6hu9.1.0_5cdbe693a03a1b540372c339"	2	60	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YPL155C"	"100_519_3b6u.1.B_5cd83a88a03a1b8e0579b996"	100	519	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YMR234W"	"185_347_1rbu.1.A_5cdd4c763b85d124c84431ce"	185	347	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YMR235C"	"16_347_1yrg.1.A_5cd517b13b85d134c1b654c9"	16	347	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YGL044C"	"138_228_2l9b.1.A_5cd580881a200bfa2d1405da"	138	228	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YMR061W"	"18_579_4e6h.1.A_5cd80206d60c5959da9d67a9"	18	579	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YEL050C"	"61_388_5mrc.1.A_5cd4e3809ffd12178482ccd4"	61	388	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YOR161C-C"	"6_33_5grq.1.B_5a6662a2a52be724bccbc7f7"	6	33	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"Q0140"	"30_398_5mrc.42.A_5cd4f74d8fd6f990fd2b01c4"	30	398	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YNR022C"	"10_83_5mrc.6.A_5cd8e29c9ffd126b8e6d8c7b"	10	83	NA	NA	"dN_dS_max_gap_ratio_0.3"	"NA"
"YPL015C"	"1_293_2od2.1.A_5cdd367708cc8fbe35752988"	1	293	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDL061C"	"5_54_4v7h.1.M_5cc7bc218fd6f929c0e23d0d"	5	54	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YML009C"	"6_69_3j6b.1.X_5cdb7eedd60c5943ea0b3840"	6	69	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YBR122C"	"20_134_5mrc.21.A_5cd7d7f9732c1e3a743bbd7b"	20	134	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YCR003W"	"72_183_5mrc.22.A_5cd7b4d0a03a1b47388be872"	72	183	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YNL177C"	"85_309_5mrc.14.A_5cd534499ffd122dbca5861a"	85	309	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YLL063C"	"22_474_2rkv.1.A_5cdd18ab9ffd1286a8dc159a"	22	474	NA	NA	"dN_dS_max_gap_ratio_0.3"	"0.3355"
"YKR085C"	"19_195_5mrc.36.A_5cd76e699ffd121d5f0f91bd"	19	195	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YFR050C"	"34_266_5wvk.1.N_5cd602d48fd6f9c7d20e10a7"	34	266	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YNL252C"	"23_281_5mre.32.A_5cd5c3553b85d17c0c996289"	23	281	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YBL038W"	"38_232_3j6b.1.K_5cd6ad2408cc8fb15e8e4d4b"	38	232	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YNL054W-A"	"212_318_3tm9.1.A_5cd59ac71a200b15778e8430"	212	318	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YLR312W-A"	"29_243_5mrc.35.A_5cd6404fa03a1b255b4c10f6"	29	243	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YNL284C"	"58_277_5mrc.9.A_5cd4e3809ffd12178482ccec"	58	277	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YJL071W"	"402_569_4k30.1.A_59cae3dfafa358bb326f903b"	402	569	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YGR220C"	"21_269_3j6b.1.C_5cd5f7c99ffd12524f4e7407"	21	269	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDR237W"	"19_292_5mrc.4.A_5cd594f5732c1e4042619c4e"	19	292	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YMR024W"	"67_390_5mrc.31.A_5cd4d7c808cc8f070d0d505b"	67	390	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YPL089C"	"6_91_6c9l.1.B_5cd7faeb732c1e51a42ed9b0"	6	91	NA	NA	"dN_dS_max_gap_ratio_0.3"	"NA"
"YPR018W"	"520_600_5jbm.1.A_5cd7732a3b85d1534aa64754"	520	600	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YPR018W"	"175_209_5izs.1.A_5cd7732a3b85d1534aa64750"	175	209	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDL081C"	"5_62_4v6i.70.A_5a57aff6c730d478e076ee90"	5	62	NA	NA	"dN_dS_max_gap_ratio_0.3"	"NA"
"YLR340W"	"1_257_4v6i.38.A_5cd51b089ffd12092200b488"	1	257	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YPL198W"	"6_244_4v6i.57.A_5cd6718cd60c5930874ec9e0"	6	244	NA	NA	"dN_dS_max_gap_ratio_0.3"	"0.8556"
"YJR136C"	"161_273_4a0c.2.A_5bb46bf08fd6f939ab22426f"	161	273	NA	NA	"dN_dS_max_gap_ratio_0.3"	"NA"
"YML025C"	"29_280_5mrc.3.A_5cd5ae931a200b10bd0b01e3"	29	280	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YPR043W"	"1_92_4v6i.63.A_5cdaa7f608cc8f383752bb5f"	1	92	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YJL189W"	"1_51_4v6i.66.A_5cc7ec6a1a200ba4e3f59b55"	1	51	NA	NA	"dN_dS_max_gap_ratio_0.3"	"NA"
"YPL249C-A"	"24_100_4v6i.62.A_5cda4628732c1ecd498272e5"	24	100	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YMR145C"	"107_557_5yjy.1.A_5cd70fe59ffd1240e0a2b1c7"	107	557	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YOR234C"	"2_106_4v7f.1.7_5cda0a5f9ffd12a5dbd97a5f"	2	106	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YLR454W"	"1062_1092_2kde.1.A_5cc87f258fd6f9bc616a5a90"	1062	1092	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YGL030W"	"1_105_4v6i.56.A_5cda1783a03a1b855620aeea"	1	105	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
