species	expansion	contraction	rapidly_evolving
Yhab133_Kazachstania_Unispora	4	0	3
Eremothecium_Gossypii	1	0	1
Metschnikowia_Continentalis	10	2	10
Yhmpu5000034957_Hanseniaspora_Osmophila	3	0	2
Yhmpu5000034635_Nadsonia_Fulvescens	4	0	4
Meyerozyma_Guilliermondii	5	2	5
Yhab148_Kazachstania_Intestinalis	3	3	3
Candida_Dubliniensis	5	2	5
Dekkera_Bruxellensis	6	1	6
Metschnikowia_Bicuspidata	8	1	8
Komagataella_Pastoris	4	2	4
Yhmpu5000035696_Hanseniaspora_Singularis	3	0	3
Wickerhamomyces_Ciferrii	7	0	5
Yhmpu5000035679_Candida_Rhagii	5	0	5
Yhab159_Kazachstania_Solicola	5	0	5
Yhmpu5000034877_Tetrapisispora_Namnaonensis	3	0	3
Spathaspora_Passalidarum	6	1	6
Saprochaete_Clavata	4	1	3
Yhmpu5000035335_Candida_Blattae	7	2	5
Candida_Succiphila	5	0	4
Yhmpu5000041818_Magnusiomyces_Tetrasperma	8	0	3
Ambrosiozyma_Monospora	6	0	4
Yhmpu5000035645_Yarrowia_Divulgata	5	0	3
Yhmpu5000041743_Candida_Hawaiiana	10	4	10
Metschnikowia_Ipomoeae	10	1	10
Yhab134_Kazachstania_Turicensis	4	0	3
Metschnikowia_Hamakuensis	9	1	9
Saccharomycopsis_Malanga	5	0	2
Yhmpu5000034897_Ogataea_Glucozyma	5	0	3
Priceomyces_Haplophilus	4	1	4
Yhmpu5000041862_Candida_Golubevii	9	0	8
Sugiyamaella_Lignohabitans	5	0	3
Clavispora_Lusitaniae	6	1	4
Yhmpu5000034885_Ogataea_Zsoltii	4	0	3
Yhmpu5000041822_Dipodascus_Geniculatus	3	0	3
Starmerella_Bombicola_Jcm9596	3	0	3
Yhmpu5000034607_Saccharomycopsis_Capsularis	4	0	2
Metschnikowia_Hibisci	9	1	9
Hanseniaspora_Uvarum	3	0	3
Yhmpu5000034933_Kuraishia_Molischiana	4	0	4
Yhab147_Kazachstania_Taianensis	4	1	3
Ogataea_Polymorpha	3	1	3
Yhab154_Kazachstania_Transvaalensis	3	3	3
Yhmpu5000035684_Kloeckera_Hatyaiensis	2	1	2
Yhmpu5000041678_Debaryomyces_Prosopidis	7	2	6
Yhmpu5000034760_Lipomyces_Kononenkoae	3	1	0
Yhmpu5000035297_Priceomyces_Castillae	5	0	5
Lachancea_Fermentati	5	0	4
Yhmpu5000034613_Saturnispora_Serradocipensis	1	1	1
Yhmpu5000035301_Pichia_Terricola	3	0	2
Saccharomyces_Kudriavzevii	2	2	2
Yhmpu5000041693_Debaryomyces_Nepalensis	6	3	5
Yhmpu5000035271_Wickerhamomyces_Bovis	3	3	3
Torulaspora_Delbrueckii	3	2	3
Yhmpu5000035640_Yamadazyma_Philogaea	6	3	5
Yhmpu5000026197_Brettanomyces_Custersianus	3	2	3
Yhmpu5000034637_Ogataea_Populiabae	3	1	3
Candida_Infanticola	4	2	3
Candida_Boidinii_Jcm9604	2	1	2
Zygosaccharomyces_Rouxii	3	0	3
Yhmpu5000034761_Lipomyces_Lipofer	6	0	0
Yhmpu5000034999_Cephaloascus_Fragrans	4	3	4
Yhmpu5000034604_Sporopachydermia_Lactativora	5	1	4
Yhmpu5000034988_Candida_Fructus	5	2	5
Yhmpu5000035667_Kurtzmaniella_Cleridarum	4	0	4
Saccharomyces_Arboricola	4	0	3
Wickerhamomyces_Anomalus	6	0	5
Candida_Glabrata	2	0	1
Yhmpu5000035296_Priceomyces_Carsonii	6	2	5
Yhmpu5000034610_Saturnispora_Hagleri	3	0	3
Yhmpu5000035641_Yamadazyma_Scolyti	4	0	4
Ambrosiozyma_Kashinagacola	4	1	3
Yhmpu5000034623_Pichia_Norvegensis	3	1	2
Yhmpu5000034749_Lipomyces_Mesembrius	0	3	0
Lachancea_Mirantina	3	1	3
Yhmpu5000034671_Blastobotrys_Peoriensis	3	0	3
Metschnikowia_Shivogae	10	1	10
Candida_Arabinofermentans	4	0	3
Yhmpu5000034974_Deakozyma_Indianensis	5	1	4
Kuraishia_Capsulata	5	2	4
Yhmpu5000034978_Cyberlindnera_Mrakii	4	0	4
Yhmpu5000034891_Ogataea_Pini	5	0	3
Yhmpu5000035318_Hyphopichia_Heimii	4	0	4
Yhab132_Kazachstania_Martiniae	5	2	3
Yhmpu5000041840_Candida_Wancherniae	10	2	8
Yhmpu5000035695_Hanseniaspora_Pseudoguilliermondii	3	0	3
Eremothecium_Coryli	1	1	1
Yhmpu5000035011_Candida_Pyralidae	4	1	4
Yhmpu5000034673_Blastobotrys_Nivea	6	1	3
Pichia_Membranifaciens	3	0	2
Yhmpu5000034998_Cephaloascus_Albidus	6	2	5
Yhab166_Kazachstania_Yakushimaensis	6	0	3
Yhmpu5000035261_Candida_Ponderosae	6	2	5
Kazachstania_Africana	5	3	3
Yhmpu5000034892_Ogataea_Pilisensis	5	1	3
Yhmpu5000034660_Diddensiella_Caesifluorescens	6	0	3
Alloascoidea_Hylecoeti	14	4	4
Metschnikowia_Similis	9	2	9
Wickerhamiella_Domercqiae	3	3	3
Metschnikowia_Kipukae	11	3	11
Yhmpu5000034973_Danielozyma_Ontarioensis	4	1	4
Yhmpu5000026274_Komagataella_Populi	4	0	4
Tetrapisispora_Blattae	4	0	3
Lodderomyces_Elongisporus	4	2	4
Yhmpu5000026137_Ambrosiozyma_Ambrosiae	4	1	3
Lachancea_Fantastica	3	0	3
Yarrowia_Lipolytica	3	1	3
Yhmpu5000035047_Barnettozyma_Pratensis	5	1	5
Lachancea_Dasiensis	4	2	3
Yhmpu5000035703_Cyberlindnera_Americana	4	0	4
Yhmpu5000034605_Spencermartinsiella_Europaea	8	2	3
Yhmpu5000034952_Citeromyces_Siamensis	7	1	3
Zygosaccharomyces_Bailii	2	1	2
Yhmpu5000034963_Hanseniaspora_Clermontiae	3	0	3
Kluyveromyces_Marxianus	5	0	4
Yhmpu5000034950_Citeromyces_Hawaiiensis	3	2	2
Yhmpu5000035032_Candida_Gatunensis	5	2	5
Tortispora_Caseinolytica	3	0	3
Yhmpu5000035022_Candida_Emberorum	5	2	5
Candida_Homilentoma	5	0	5
Wickerhamia_Fluorescens	3	2	3
Yhmpu5000034881_Torulaspora_Pretoriensis	6	1	6
Lachancea_Thermotolerans	3	2	3
Scheffersomyces_Stipitis	6	0	5
Lipomyces_Starkeyi	5	1	0
Spathaspora_Hagerdaliae	5	1	5
Yhmpu5000035689_Candida_Mycetangii	4	1	4
Yhmpu5000035629_Yueomyces_Sinensis	6	0	3
Yhmpu5000034674_Blastobotrys_Muscicola	5	1	4
Yhmpu5000035252_Yamadazyma_Nakazawae	6	0	6
Metschnikowia_Cerradonensis	10	2	10
Yhmpu5000026142_Citeromyces_Matritensis	3	1	2
Yhmpu5000034883_Peterozyma_Xylosa	4	0	4
Yhmpu5000035650_Trigonopsis_Variabilis	4	0	3
Yhab153_Kazachstania_Rosinii	2	3	2
Yhmpu5000035268_Wickerhamomyces_Hampshirensis	5	0	4
Sporopachydermia_Quercuum	6	0	5
Yhmpu5000035242_Zygoascus_Ofunaensis	4	2	3
Scheffersomyces_Lignosus	7	3	5
Metschnikowia_Borealis	10	2	10
Yhmpu5000041833_Candida_Tammaniensis	7	0	5
Yhmpu5000035681_Candida_Gotoi	4	1	4
Yhmpu5000035302_Candida_Fragi	4	1	3
Yhmpu5000034629_Pichia_Exigua	2	1	2
Candida_Orthopsilosis	4	2	4
Metschnikowia_Drakensbergensis	9	1	9
Yhmpu5000034648_Candida_Restingae	6	1	5
Candida_Sojae	5	2	5
Hyphopichia_Burtonii	6	1	5
Yhmpu5000035282_Trigonopsis_Vinaria	5	0	3
Yhmpu5000035286_Candida_Azyma	3	0	3
Lachancea_Kluyveri	5	0	4
Vanderwaltozyma_Polyspora	3	2	3
Yhmpu5000034876_Tetrapisispora_Iriomotensis	5	0	3
Yhmpu5000034669_Blastobotrys_Raffinofermentans	6	0	5
Yhmpu5000035672_Phaffomyces_Thermotolerans	4	0	4
Spathaspora_Arborariae	5	1	4
Yhab143_Kazachstania_Siamensis	3	2	3
Pachysolen_Tannophilus	6	3	5
Candida_Tropicalis	7	0	6
Yhmpu5000035044_Barnettozyma_Californica	3	0	2
Yhmpu5000035243_Zygoascus_Meyerae	5	0	3
Yhmpu5000034612_Saturnispora_Saitoi	2	1	1
Yhmpu5000034887_Ogataea_Trehaloabstinens	4	0	4
Lachancea_Quebecensis	4	1	3
Yhmpu5000034758_Lipomyces_Japonicus	1	2	0
Yhmpu5000035244_Candida_Incommunis	4	1	3
Yhab160_Kazachstania_Kunashirensis	4	0	3
Nakazawaea_Peltata	5	1	5
Yhmpu5000034615_Saturnispora_Zaruensis	2	0	2
Yhmpu5000034646_Wickerhamiella_Cacticola	6	2	3
Yhmpu5000034902_Ogataea_Minuta	4	0	3
Yhmpu5000026145_Ambrosiozyma_Vanderkliftii	2	0	2
Lachancea_Nothofagi	4	1	4
Yhmpu5000034748_Lipomyces_Oligophaga	0	3	0
Yhmpu5000035665_Middelhovenomyces_Tepae	5	0	3
Yhmpu5000041863_Candida_Gorgasii	5	1	4
Yhmpu5000035018_Candida_Canberraensis	6	2	5
Tetrapisispora_Phaffii	3	0	3
Yhmpu5000034875_Tetrapisispora_Fleetii	3	1	3
Naumovozyma_Castellii	4	0	3
Candida_Intermedia	5	0	5
Yhmpu5000035639_Wickerhamomyces_Canadensis	3	0	3
Kluyveromyces_Lactis	4	0	4
Yhmpu5000034754_Lipomyces_Arxii	1	2	0
Candida_Albicans	7	0	6
Ogataea_Parapolymorpha	3	0	3
Metschnikowia_Matae_Maris	10	0	10
Yhmpu5000034655_Botryozyma_Nematodophila	9	0	3
Yhmpu5000034947_Ambrosiozyma_Philentoma	5	0	4
Yhmpu5000035662_Meyerozyma_Caribbica	5	1	5
Yhmpu5000034979_Cyberlindnera_Misumaiensis	3	0	3
Metschnikowia_Bowlesiae	10	1	10
Candida_Sorboxylosa	2	2	2
Arxula_Adeninivorans	3	1	3
Yhmpu5000035033_Candida_Cretensis	4	0	4
Yhmpu5000041713_Debaryomyces_Maramus	5	1	5
Yhmpu5000034710_Kluyveromyces_Dobzhanskii	4	0	4
Yhmpu5000034903_Ogataea_Naganishii	6	0	5
Yhmpu5000035654_Tortispora_Ganteri	3	0	3
Yhmpu5000034597_Candida_Stellimalicola	4	1	4
Nadsonia_Fulvescens_Var_Elongata	3	1	3
Metschnikowia_Dekortum	9	1	9
Yhmpu5000035658_Starmera_Amethionina	3	0	3
Eremothecium_Sinecaudum	1	2	1
Yhmpu5000035041_Ambrosiozyma_Pseudovanderkliftii	5	1	4
Yhmpu5000034742_Lipomyces_Suomiensis	3	0	0
Yhmpu5000035671_Phaffomyces_Antillensis	4	1	4
Yhmpu5000034631_Martiniozyma_Abiesophila	3	0	2
Yhmpu5000035325_Cyberlindnera_Petersonii	4	1	4
Saccharomyces_Cerevisiae	5	0	4
Nakaseomyces_Bacillisporus	1	1	1
Hanseniaspora_Valbyensis	4	0	3
Kazachstania_Naganishii	3	2	3
Yhmpu5000034636_Ogataea_Nitratoaversa	3	0	3
Yarrowia_Deformans	3	0	3
Yhmpu5000035040_Ambrosiozyma_Maleeae	2	1	2
Yhmpu5000035688_Cyberlindnera_Xylosilytica	6	0	4
Nakaseomyces_Bracarensis	1	0	1
Yhmpu5000034986_Candida_Oregonensis	8	6	4
Yhmpu5000035691_Candida_Salmanticensis	7	2	3
Yhmpu5000034627_Pichia_Heedii	3	1	3
Yhmpu5000034667_Blastobotrys_Serpentis	6	1	3
Yhab164_Kazachstania_Aerobia	3	1	3
Spathaspora_Girioi	8	3	6
Nakaseomyces_Delphensis	1	1	1
Hanseniaspora_Vinae	2	1	2
Lachancea_Waltii	2	1	1
Yhab158_Kazachstania_Viticola	5	0	3
Metschnikowia_Santaceciliae	9	2	9
Yhmpu5000035677_Kodamaea_Ohmeri	7	1	5
Candida_Versatilis	6	0	4
Yhmpu5000026256_Zygotorulaspora_Mrakii	3	0	3
Cyberlindnera_Jadinii	5	0	5
Yhab155_Kazachstania_Spencerorum	7	0	4
Cyberlindnera_Fabianii_Jcm3601	4	1	4
Yhmpu5000035046_Barnettozyma_Populi	4	0	3
Yhmpu5000041824_Debaryomyces_Subglobosus	6	1	6
Yhmpu5000034625_Pichia_Kudriavzevii	4	1	2
Yhmpu5000034622_Pichia_Occidentalis	3	0	2
