Species	Expanded fams	Genes gained	genes/expansion	Contracted fams	Genes lost	genes/contraction	No change	Avg. Expansion
Lachancea&Meyersii	3 (3)	3	1.0	1 (0)	1	1.0	20	-0.0172414
Metschnikowia&Kamakouana	10 (10)	16	1.6	1 (1)	1	1.0	13	0.0862069
Brettanomyces&Anomalus	6 (5)	8	1.33	0 (0)	0	0	18	0.0344828
Candida&Tenuis	5 (5)	7	1.4	4 (0)	4	1.0	15	-0.0172414
Ascoidea&Asiatica	8 (4)	16	2.0	2 (0)	2	1.0	14	0.178161
Yhmpu5000035652&Torulaspora&Maleeae	3 (3)	3	1.0	1 (0)	1	1.0	20	0.0114943
Yhmpu5000035699&Cyberlindnera&Maclurae	3 (3)	4	1.33	1 (0)	1	1.0	20	-0.0402299
Candida&Apicola	3 (2)	3	1.0	1 (0)	1	1.0	20	0.0229885
Yhmpu5000034614&Saturnispora&Silvae	2 (2)	2	1.0	2 (0)	2	1.0	20	-0.00574713
Yhmpu5000034918&Nakazawaea&Holstii	5 (5)	9	1.8	2 (0)	2	1.0	17	0.0229885
Yhmpu5000035690&Candida&Vartiovaarae	4 (4)	5	1.25	0 (0)	0	0	20	0.0402299
Metschnikowia&Proteae	9 (9)	13	1.44	1 (1)	1	1.0	14	0.0689655
Yhmpu5000034899&Ogataea&Kodamae	2 (2)	5	2.5	3 (0)	3	1.0	19	-0.0689655
Lachancea&Lanzarotensis	4 (3)	4	1.0	1 (0)	1	1.0	19	0
Yhmpu5000035037&Candida&Montana	4 (4)	6	1.5	0 (0)	0	0	20	0.0402299
Naumovozyma&Dairenensis	3 (3)	3	1.0	0 (0)	0	0	21	0.0344828
Nakaseomyces&Nivariensis	2 (1)	2	1.0	0 (0)	0	0	22	0.00574713
Yhmpu5000041855&Candida&Ascalaphidarum	4 (3)	4	1.0	4 (0)	4	1.0	16	-0.126437
Yhmpu5000035651&Torulaspora&Microellipsoides	4 (3)	4	1.0	1 (0)	1	1.0	19	0.0402299
Metschnikowia&Hawaiiensis	9 (9)	14	1.56	1 (1)	1	1.0	14	0.0747126
Yhmpu5000034901&Ogataea&Methylivora	7 (4)	9	1.29	0 (0)	0	0	17	0.091954
Yhmpu5000034643&Candida&Schatavii	6 (4)	7	1.17	1 (0)	1	1.0	17	0.0689655
Yhmpu5000035643&Yarrowia&Bubula	4 (3)	4	1.0	0 (0)	0	0	20	0.0344828
Ashbya&Aceri	1 (1)	1	1.0	1 (0)	1	1.0	22	-0.0172414
Yhmpu5000034866&Zygosaccharomyces&Bisporus	2 (2)	2	1.0	0 (0)	0	0	22	0.00574713
Yhmpu5000034890&Ogataea&Ramenticola	5 (4)	5	1.0	1 (0)	1	1.0	18	-0.00574713
Yhmpu5000035659&Saturnispora&Dispora	1 (1)	1	1.0	0 (0)	0	0	23	0.00574713
Yhmpu5000034865&Zygosaccharomyces&Kombuchaensis	2 (2)	2	1.0	0 (0)	0	0	22	0.0172414
Ogataea&Methanolica	6 (4)	12	2.0	0 (0)	0	0	18	0.091954
Saccharomyces&Uvarum	3 (3)	3	1.0	0 (0)	0	0	21	0
Millerozyma&Acaciae	4 (4)	4	1.0	3 (0)	3	1.0	17	-0.16092
Yhmpu5000034886&Ogataea&Trehalophila	3 (3)	5	1.67	0 (0)	0	0	21	0.0172414
Yhmpu5000034654&Aciculoconidium&Aculeatum	5 (4)	7	1.4	3 (0)	3	1.0	16	0.0172414
Yhmpu5000034757&Lipomyces&Doorenjongii	1 (0)	1	1.0	2 (0)	2	1.0	21	-0.172414
Yhmpu5000034594&Starmera&Quercuum	5 (4)	5	1.0	1 (0)	1	1.0	18	0.0574713
Yhmpu5000034661&Dipodascus&Albidus	3 (3)	3	1.0	1 (0)	1	1.0	20	0.0172414
Ascoidea&Rubescens	2 (2)	3	1.5	1 (0)	2	2.0	21	-0.0574713
Yhmpu5000034681&Blastobotrys&Americana	2 (2)	2	1.0	1 (0)	1	1.0	21	-0.0689655
Yhmpu5000034862&Zygotorulaspora&Florentina	4 (3)	6	1.5	2 (0)	2	1.0	18	0.091954
Yhmpu5000035687&Cyberlindnera&Suaveolens	3 (3)	4	1.33	0 (0)	0	0	21	-0.0114943
Nakaseomyces&Castellii	2 (2)	6	3.0	1 (0)	1	1.0	21	-0.0114943
Metschnikowia&Lockheadii	9 (9)	16	1.78	1 (1)	1	1.0	14	0.0862069
Yhmpu5000035633&Candida&Hispaniensis	2 (2)	2	1.0	4 (0)	4	1.0	18	-0.0804598
Lachancea&Cidri	3 (3)	3	1.0	0 (0)	0	0	21	0.045977
Yhmpu5000034670&Blastobotrys&Proliferans	6 (3)	7	1.17	0 (0)	0	0	18	0.172414
Yhmpu5000034932&Kuraishia&Ogatae	6 (4)	7	1.17	0 (0)	0	0	18	-0.0632184
Yhmpu5000034939&Komagataella&Pseudopastoris	4 (4)	4	1.0	1 (1)	1	1.0	19	0
Yhmpu5000034967&Candida&Freyschussii	6 (4)	8	1.33	2 (0)	2	1.0	16	-0.0114943
Saccharomyces&Paradoxus	3 (3)	3	1.0	2 (0)	2	1.0	19	-0.0172414
Debaryomyces&Hansenii	6 (5)	8	1.33	0 (0)	0	0	18	0.0517241
Metschnikowia&Arizonensis	9 (9)	13	1.44	3 (0)	3	1.0	12	0.0517241
Babjeviella&Inositovora	9 (5)	15	1.67	3 (0)	4	1.33	12	-0.045977
Yhmpu5000035031&Candida&Kruisii	8 (6)	8	1.0	0 (0)	0	0	16	0.132184
Yhmpu5000026152&Torulaspora&Franciscae	4 (3)	8	2.0	0 (0)	0	0	20	0.0689655
Yhmpu5000035674&Kregervanrija&Delftensis	3 (3)	4	1.33	0 (0)	0	0	21	-0.0172414
Yhmpu5000035675&Kregervanrija&Fluxuum	3 (3)	4	1.33	1 (0)	1	1.0	20	0.0114943
Candida&Auris	3 (3)	5	1.67	0 (0)	0	0	21	-0.00574713
Candida&Parapsilosis	6 (5)	8	1.33	1 (0)	1	1.0	17	0.0862069
Saccharomyces&Eubayanus	3 (3)	3	1.0	1 (0)	2	2.0	20	-0.00574713
Yhab136&Kazachstania&Bromeliacearum	4 (3)	5	1.25	1 (0)	1	1.0	19	-0.00574713
Yhmpu5000034632&Candida&Athensensis	5 (5)	6	1.2	2 (0)	2	1.0	17	-0.103448
Yhmpu5000034946&Ambrosiozyma&Oregonensis	4 (3)	9	2.25	1 (0)	1	1.0	19	0.0344828
Yarrowia&Keelungensis	3 (3)	3	1.0	1 (0)	1	1.0	20	0.0114943
Yhmpu5000034893&Ogataea&Philodendra	3 (3)	4	1.33	1 (0)	1	1.0	20	-0.0574713
Yhmpu5000034606&Priceomyces&Medius	5 (5)	7	1.4	1 (0)	1	1.0	18	0.0114943
Yhmpu5000026124&Ogataea&Henricii	3 (3)	7	2.33	0 (0)	0	0	21	0.0344828
Candida&Carpophila	6 (6)	8	1.33	3 (2)	3	1.0	15	0
Candida&Tanzawaensis	6 (5)	7	1.17	1 (0)	1	1.0	17	0.00574713
Yhab133&Kazachstania&Unispora	4 (3)	7	1.75	0 (0)	0	0	20	0.0402299
Eremothecium&Gossypii	1 (1)	1	1.0	0 (0)	0	0	23	0
Metschnikowia&Continentalis	10 (10)	17	1.7	2 (2)	2	1.0	12	0.0862069
Yhmpu5000034957&Hanseniaspora&Osmophila	3 (2)	5	1.67	0 (0)	0	0	21	0.0287356
Yhmpu5000034635&Nadsonia&Fulvescens	4 (4)	5	1.25	0 (0)	0	0	20	0.0287356
Meyerozyma&Guilliermondii	5 (5)	9	1.8	2 (0)	2	1.0	17	0.0632184
Yhab148&Kazachstania&Intestinalis	3 (3)	3	1.0	3 (0)	5	1.67	18	-0.0402299
Candida&Dubliniensis	5 (5)	6	1.2	2 (0)	2	1.0	17	0.00574713
Dekkera&Bruxellensis	6 (6)	7	1.17	1 (0)	1	1.0	17	0.0689655
Metschnikowia&Bicuspidata	8 (8)	13	1.63	1 (0)	1	1.0	15	0.091954
Komagataella&Pastoris	4 (4)	4	1.0	2 (0)	2	1.0	18	-0.00574713
Yhmpu5000035696&Hanseniaspora&Singularis	3 (3)	3	1.0	0 (0)	0	0	21	0.0229885
Wickerhamomyces&Ciferrii	7 (5)	11	1.57	0 (0)	0	0	17	0.12069
Yhmpu5000035679&Candida&Rhagii	5 (5)	7	1.4	0 (0)	0	0	19	0.0172414
Yhab159&Kazachstania&Solicola	5 (5)	6	1.2	0 (0)	0	0	19	0.0517241
Yhmpu5000034877&Tetrapisispora&Namnaonensis	3 (3)	4	1.33	0 (0)	0	0	21	0.0229885
Spathaspora&Passalidarum	6 (6)	12	2.0	1 (0)	1	1.0	17	0.0632184
Saprochaete&Clavata	4 (3)	4	1.0	1 (0)	1	1.0	19	-0.0344828
Yhmpu5000035335&Candida&Blattae	7 (5)	11	1.57	2 (0)	2	1.0	15	0.0632184
Candida&Succiphila	5 (4)	7	1.4	0 (0)	0	0	19	0.0344828
Yhmpu5000041818&Magnusiomyces&Tetrasperma	8 (3)	13	1.63	0 (0)	0	0	16	0.224138
Ambrosiozyma&Monospora	6 (4)	11	1.83	0 (0)	0	0	18	0.132184
Yhmpu5000035645&Yarrowia&Divulgata	5 (3)	6	1.2	0 (0)	0	0	19	0.0402299
Yhmpu5000041743&Candida&Hawaiiana	10 (10)	16	1.6	4 (0)	4	1.0	10	0.0632184
Metschnikowia&Ipomoeae	10 (10)	16	1.6	1 (1)	1	1.0	13	0.0862069
Yhab134&Kazachstania&Turicensis	4 (3)	4	1.0	0 (0)	0	0	20	-0.0229885
Metschnikowia&Hamakuensis	9 (9)	14	1.56	1 (1)	1	1.0	14	0.0747126
Saccharomycopsis&Malanga	5 (2)	8	1.6	0 (0)	0	0	19	0.0344828
Yhmpu5000034897&Ogataea&Glucozyma	5 (3)	9	1.8	0 (0)	0	0	19	0.0977011
Priceomyces&Haplophilus	4 (4)	5	1.25	1 (0)	1	1.0	19	-0.0114943
Yhmpu5000041862&Candida&Golubevii	9 (8)	14	1.56	0 (0)	0	0	15	0.091954
Sugiyamaella&Lignohabitans	5 (3)	5	1.0	0 (0)	0	0	19	-0.103448
Clavispora&Lusitaniae	6 (4)	7	1.17	1 (0)	1	1.0	17	0.0402299
Yhmpu5000034885&Ogataea&Zsoltii	4 (3)	10	2.5	0 (0)	0	0	20	0.045977
Yhmpu5000041822&Dipodascus&Geniculatus	3 (3)	3	1.0	0 (0)	0	0	21	0.0229885
Starmerella&Bombicola&Jcm9596	3 (3)	3	1.0	0 (0)	0	0	21	0.00574713
Yhmpu5000034607&Saccharomycopsis&Capsularis	4 (2)	7	1.75	0 (0)	0	0	20	0.0574713
Metschnikowia&Hibisci	9 (9)	14	1.56	1 (1)	1	1.0	14	0.0632184
Hanseniaspora&Uvarum	3 (3)	4	1.33	0 (0)	0	0	21	0.0344828
Yhmpu5000034933&Kuraishia&Molischiana	4 (4)	11	2.75	0 (0)	0	0	20	0.0574713
Yhab147&Kazachstania&Taianensis	4 (3)	6	1.5	1 (0)	1	1.0	19	-0.0114943
Ogataea&Polymorpha	3 (3)	5	1.67	1 (1)	1	1.0	20	-0.0114943
Yhab154&Kazachstania&Transvaalensis	3 (3)	3	1.0	3 (0)	4	1.33	18	-0.0114943
Yhmpu5000035684&Kloeckera&Hatyaiensis	2 (2)	3	1.5	1 (0)	1	1.0	21	0
Yhmpu5000041678&Debaryomyces&Prosopidis	7 (6)	13	1.86	2 (0)	2	1.0	15	0.0632184
Yhmpu5000034760&Lipomyces&Kononenkoae	3 (0)	3	1.0	1 (0)	1	1.0	20	-0.00574713
Yhmpu5000035297&Priceomyces&Castillae	5 (5)	7	1.4	0 (0)	0	0	19	0.045977
Lachancea&Fermentati	5 (4)	5	1.0	0 (0)	0	0	19	0.045977
Yhmpu5000034613&Saturnispora&Serradocipensis	1 (1)	1	1.0	1 (0)	1	1.0	22	0.0114943
Yhmpu5000035301&Pichia&Terricola	3 (2)	3	1.0	0 (0)	0	0	21	0.0344828
Saccharomyces&Kudriavzevii	2 (2)	2	1.0	2 (1)	3	1.5	20	-0.0287356
Yhmpu5000041693&Debaryomyces&Nepalensis	6 (5)	8	1.33	3 (0)	3	1.0	15	0
Yhmpu5000035271&Wickerhamomyces&Bovis	3 (3)	3	1.0	3 (0)	3	1.0	18	-0.109195
Torulaspora&Delbrueckii	3 (3)	5	1.67	2 (0)	2	1.0	19	0.0287356
Yhmpu5000035640&Yamadazyma&Philogaea	6 (5)	9	1.5	3 (0)	3	1.0	15	0.00574713
Yhmpu5000026197&Brettanomyces&Custersianus	3 (3)	3	1.0	2 (0)	2	1.0	19	-0.0574713
Yhmpu5000034637&Ogataea&Populiabae	3 (3)	7	2.33	1 (0)	1	1.0	20	-0.0114943
Candida&Infanticola	4 (3)	4	1.0	2 (0)	2	1.0	18	-0.091954
Candida&Boidinii&Jcm9604	2 (2)	2	1.0	1 (0)	1	1.0	21	-0.178161
Zygosaccharomyces&Rouxii	3 (3)	3	1.0	0 (0)	0	0	21	0.00574713
Yhmpu5000034761&Lipomyces&Lipofer	6 (0)	7	1.17	0 (0)	0	0	18	0.367816
Yhmpu5000034999&Cephaloascus&Fragrans	4 (4)	5	1.25	3 (0)	3	1.0	17	0.0172414
Yhmpu5000034604&Sporopachydermia&Lactativora	5 (4)	5	1.0	1 (0)	1	1.0	18	0.00574713
Yhmpu5000034988&Candida&Fructus	5 (5)	6	1.2	2 (0)	2	1.0	17	-0.0172414
Yhmpu5000035667&Kurtzmaniella&Cleridarum	4 (4)	5	1.25	0 (0)	0	0	20	0.0172414
Saccharomyces&Arboricola	4 (3)	5	1.25	0 (0)	0	0	20	0.0172414
Wickerhamomyces&Anomalus	6 (5)	10	1.67	0 (0)	0	0	18	0.0517241
Candida&Glabrata	2 (1)	3	1.5	0 (0)	0	0	22	0.0114943
Yhmpu5000035296&Priceomyces&Carsonii	6 (5)	10	1.67	2 (0)	2	1.0	16	0.103448
Yhmpu5000034610&Saturnispora&Hagleri	3 (3)	3	1.0	0 (0)	0	0	21	0.0344828
Yhmpu5000035641&Yamadazyma&Scolyti	4 (4)	8	2.0	0 (0)	0	0	20	0.0517241
Ambrosiozyma&Kashinagacola	4 (3)	5	1.25	1 (0)	1	1.0	19	-0.0344828
Yhmpu5000034623&Pichia&Norvegensis	3 (2)	3	1.0	1 (0)	1	1.0	20	0.0172414
Yhmpu5000034749&Lipomyces&Mesembrius	0 (0)	0	0	3 (2)	5	1.67	21	-0.229885
Lachancea&Mirantina	3 (3)	3	1.0	1 (0)	2	2.0	20	-0.0344828
Yhmpu5000034671&Blastobotrys&Peoriensis	3 (3)	5	1.67	0 (0)	0	0	21	0.137931
Metschnikowia&Shivogae	10 (10)	15	1.5	1 (1)	1	1.0	13	0.0862069
Candida&Arabinofermentans	4 (3)	6	1.5	0 (0)	0	0	20	0.0229885
Yhmpu5000034974&Deakozyma&Indianensis	5 (4)	8	1.6	1 (0)	1	1.0	18	0.0114943
Kuraishia&Capsulata	5 (4)	12	2.4	2 (0)	2	1.0	17	0.103448
Yhmpu5000034978&Cyberlindnera&Mrakii	4 (4)	5	1.25	0 (0)	0	0	20	0.0114943
Yhmpu5000034891&Ogataea&Pini	5 (3)	9	1.8	0 (0)	0	0	19	0.0344828
Yhmpu5000035318&Hyphopichia&Heimii	4 (4)	6	1.5	0 (0)	0	0	20	0.0344828
Yhab132&Kazachstania&Martiniae	5 (3)	5	1.0	2 (0)	2	1.0	17	0.0114943
Yhmpu5000041840&Candida&Wancherniae	10 (8)	13	1.3	2 (0)	2	1.0	12	0.0287356
Yhmpu5000035695&Hanseniaspora&Pseudoguilliermondii	3 (3)	4	1.33	0 (0)	0	0	21	0.0172414
Eremothecium&Coryli	1 (1)	1	1.0	1 (0)	1	1.0	22	-0.0172414
Yhmpu5000035011&Candida&Pyralidae	4 (4)	4	1.0	1 (0)	1	1.0	19	-0.045977
Yhmpu5000034673&Blastobotrys&Nivea	6 (3)	7	1.17	1 (0)	1	1.0	17	0.0114943
Pichia&Membranifaciens	3 (2)	3	1.0	0 (0)	0	0	21	-0.00574713
Yhmpu5000034998&Cephaloascus&Albidus	6 (5)	11	1.83	2 (0)	2	1.0	16	0.091954
Yhab166&Kazachstania&Yakushimaensis	6 (3)	10	1.67	0 (0)	0	0	18	0.0862069
Yhmpu5000035261&Candida&Ponderosae	6 (5)	10	1.67	2 (0)	2	1.0	16	-0.045977
Kazachstania&Africana	5 (3)	6	1.2	3 (0)	3	1.0	16	0.00574713
Yhmpu5000034892&Ogataea&Pilisensis	5 (3)	14	2.8	1 (0)	1	1.0	18	0.0689655
Yhmpu5000034660&Diddensiella&Caesifluorescens	6 (3)	8	1.33	0 (0)	0	0	18	0.206897
Alloascoidea&Hylecoeti	14 (4)	28	2.0	4 (0)	4	1.0	6	0.091954
Metschnikowia&Similis	9 (9)	14	1.56	2 (2)	2	1.0	13	0.0689655
Wickerhamiella&Domercqiae	3 (3)	3	1.0	3 (0)	3	1.0	18	-0.0172414
Metschnikowia&Kipukae	11 (11)	18	1.64	3 (0)	3	1.0	10	0.0862069
Yhmpu5000034973&Danielozyma&Ontarioensis	4 (4)	5	1.25	1 (0)	1	1.0	19	0
Yhmpu5000026274&Komagataella&Populi	4 (4)	4	1.0	0 (0)	0	0	20	0.0229885
Tetrapisispora&Blattae	4 (3)	7	1.75	0 (0)	0	0	20	0.0517241
Lodderomyces&Elongisporus	4 (4)	4	1.0	2 (0)	3	1.5	18	-0.0114943
Yhmpu5000026137&Ambrosiozyma&Ambrosiae	4 (3)	8	2.0	1 (0)	1	1.0	19	0.0114943
Lachancea&Fantastica	3 (3)	3	1.0	0 (0)	0	0	21	0.0287356
Yarrowia&Lipolytica	3 (3)	3	1.0	1 (1)	2	2.0	20	0.0114943
Yhmpu5000035047&Barnettozyma&Pratensis	5 (5)	6	1.2	1 (0)	1	1.0	18	0.0804598
Lachancea&Dasiensis	4 (3)	5	1.25	2 (0)	2	1.0	18	0.0344828
Yhmpu5000035703&Cyberlindnera&Americana	4 (4)	8	2.0	0 (0)	0	0	20	0.045977
Yhmpu5000034605&Spencermartinsiella&Europaea	8 (3)	10	1.25	2 (0)	2	1.0	14	0.166667
Yhmpu5000034952&Citeromyces&Siamensis	7 (3)	10	1.43	1 (0)	1	1.0	16	0.350575
Zygosaccharomyces&Bailii	2 (2)	2	1.0	1 (0)	1	1.0	21	0
Yhmpu5000034963&Hanseniaspora&Clermontiae	3 (3)	5	1.67	0 (0)	0	0	21	0.0344828
Kluyveromyces&Marxianus	5 (4)	5	1.0	0 (0)	0	0	19	0.0172414
Yhmpu5000034950&Citeromyces&Hawaiiensis	3 (2)	3	1.0	2 (0)	2	1.0	19	0
Yhmpu5000035032&Candida&Gatunensis	5 (5)	5	1.0	2 (0)	2	1.0	17	-0.045977
Tortispora&Caseinolytica	3 (3)	3	1.0	0 (0)	0	0	21	0
Yhmpu5000035022&Candida&Emberorum	5 (5)	5	1.0	2 (0)	2	1.0	17	0
Candida&Homilentoma	5 (5)	7	1.4	0 (0)	0	0	19	0.0402299
Wickerhamia&Fluorescens	3 (3)	4	1.33	2 (0)	2	1.0	19	-0.0632184
Yhmpu5000034881&Torulaspora&Pretoriensis	6 (6)	9	1.5	1 (0)	1	1.0	17	0.103448
Lachancea&Thermotolerans	3 (3)	3	1.0	2 (0)	2	1.0	19	0.0172414
Scheffersomyces&Stipitis	6 (5)	13	2.17	0 (0)	0	0	18	0.114943
Lipomyces&Starkeyi	5 (0)	5	1.0	1 (0)	1	1.0	18	0.0804598
Spathaspora&Hagerdaliae	5 (5)	8	1.6	1 (0)	1	1.0	18	0.0804598
Yhmpu5000035689&Candida&Mycetangii	4 (4)	10	2.5	1 (0)	1	1.0	19	0.0402299
Yhmpu5000035629&Yueomyces&Sinensis	6 (3)	8	1.33	0 (0)	0	0	18	0.0344828
Yhmpu5000034674&Blastobotrys&Muscicola	5 (4)	9	1.8	1 (0)	1	1.0	18	-0.0804598
Yhmpu5000035252&Yamadazyma&Nakazawae	6 (6)	10	1.67	0 (0)	0	0	18	0.0344828
Metschnikowia&Cerradonensis	10 (10)	17	1.7	2 (2)	2	1.0	12	0.0862069
Yhmpu5000026142&Citeromyces&Matritensis	3 (2)	5	1.67	1 (0)	1	1.0	20	0.0114943
Yhmpu5000034883&Peterozyma&Xylosa	4 (4)	10	2.5	0 (0)	0	0	20	0.0517241
Yhmpu5000035650&Trigonopsis&Variabilis	4 (3)	4	1.0	0 (0)	0	0	20	0.045977
Yhab153&Kazachstania&Rosinii	2 (2)	3	1.5	3 (0)	4	1.33	19	0.0172414
Yhmpu5000035268&Wickerhamomyces&Hampshirensis	5 (4)	11	2.2	0 (0)	0	0	19	0.0804598
Sporopachydermia&Quercuum	6 (5)	7	1.17	0 (0)	0	0	18	0.0517241
Yhmpu5000035242&Zygoascus&Ofunaensis	4 (3)	4	1.0	2 (0)	2	1.0	18	0.0287356
Scheffersomyces&Lignosus	7 (5)	12	1.71	3 (0)	3	1.0	14	0.0574713
Metschnikowia&Borealis	10 (10)	16	1.6	2 (2)	2	1.0	12	0.0862069
Yhmpu5000041833&Candida&Tammaniensis	7 (5)	13	1.86	0 (0)	0	0	17	0.0747126
Yhmpu5000035681&Candida&Gotoi	4 (4)	7	1.75	1 (0)	1	1.0	19	0.045977
Yhmpu5000035302&Candida&Fragi	4 (3)	5	1.25	1 (0)	1	1.0	19	0.0402299
Yhmpu5000034629&Pichia&Exigua	2 (2)	2	1.0	1 (0)	1	1.0	21	-0.0114943
Candida&Orthopsilosis	4 (4)	4	1.0	2 (0)	2	1.0	18	0
Metschnikowia&Drakensbergensis	9 (9)	14	1.56	1 (1)	1	1.0	14	0.0747126
Yhmpu5000034648&Candida&Restingae	6 (5)	9	1.5	1 (0)	1	1.0	17	0.0287356
Candida&Sojae	5 (5)	7	1.4	2 (0)	2	1.0	17	0
Hyphopichia&Burtonii	6 (5)	8	1.33	1 (0)	1	1.0	17	-0.0114943
Yhmpu5000035282&Trigonopsis&Vinaria	5 (3)	5	1.0	0 (0)	0	0	19	0.0114943
Yhmpu5000035286&Candida&Azyma	3 (3)	6	2.0	0 (0)	0	0	21	0.0402299
Lachancea&Kluyveri	5 (4)	5	1.0	0 (0)	0	0	19	0.045977
Vanderwaltozyma&Polyspora	3 (3)	3	1.0	2 (0)	2	1.0	19	0
Yhmpu5000034876&Tetrapisispora&Iriomotensis	5 (3)	6	1.2	0 (0)	0	0	19	0.0402299
Yhmpu5000034669&Blastobotrys&Raffinofermentans	6 (5)	7	1.17	0 (0)	0	0	18	0.0344828
Yhmpu5000035672&Phaffomyces&Thermotolerans	4 (4)	4	1.0	0 (0)	0	0	20	0
Spathaspora&Arborariae	5 (4)	8	1.6	1 (0)	1	1.0	18	0.0114943
Yhab143&Kazachstania&Siamensis	3 (3)	4	1.33	2 (0)	2	1.0	19	0
Pachysolen&Tannophilus	6 (5)	8	1.33	3 (0)	3	1.0	15	-0.0632184
Candida&Tropicalis	7 (6)	9	1.29	0 (0)	0	0	17	0.126437
Yhmpu5000035044&Barnettozyma&Californica	3 (2)	7	2.33	0 (0)	0	0	21	0.0689655
Yhmpu5000035243&Zygoascus&Meyerae	5 (3)	6	1.2	0 (0)	0	0	19	0.0114943
Yhmpu5000034612&Saturnispora&Saitoi	2 (1)	2	1.0	1 (0)	1	1.0	21	0.0114943
Yhmpu5000034887&Ogataea&Trehaloabstinens	4 (4)	14	3.5	0 (0)	0	0	20	0.149425
Lachancea&Quebecensis	4 (3)	4	1.0	1 (0)	1	1.0	19	0.0287356
Yhmpu5000034758&Lipomyces&Japonicus	1 (0)	1	1.0	2 (0)	2	1.0	21	-0.114943
Yhmpu5000035244&Candida&Incommunis	4 (3)	4	1.0	1 (0)	1	1.0	19	0.0402299
Yhab160&Kazachstania&Kunashirensis	4 (3)	5	1.25	0 (0)	0	0	20	0.0344828
Nakazawaea&Peltata	5 (5)	9	1.8	1 (0)	1	1.0	18	0.0402299
Yhmpu5000034615&Saturnispora&Zaruensis	2 (2)	2	1.0	0 (0)	0	0	22	0.0229885
Yhmpu5000034646&Wickerhamiella&Cacticola	6 (3)	6	1.0	2 (0)	2	1.0	16	-0.0344828
Yhmpu5000034902&Ogataea&Minuta	4 (3)	6	1.5	0 (0)	0	0	20	0.0114943
Yhmpu5000026145&Ambrosiozyma&Vanderkliftii	2 (2)	2	1.0	0 (0)	0	0	22	0.0172414
Lachancea&Nothofagi	4 (4)	7	1.75	1 (0)	1	1.0	19	0.0229885
Yhmpu5000034748&Lipomyces&Oligophaga	0 (0)	0	0	3 (0)	3	1.0	21	-0.0804598
Yhmpu5000035665&Middelhovenomyces&Tepae	5 (3)	5	1.0	0 (0)	0	0	19	0.0287356
Yhmpu5000041863&Candida&Gorgasii	5 (4)	9	1.8	1 (0)	1	1.0	18	0.0689655
Yhmpu5000035018&Candida&Canberraensis	6 (5)	8	1.33	2 (0)	2	1.0	16	0.045977
Tetrapisispora&Phaffii	3 (3)	4	1.33	0 (0)	0	0	21	0.0229885
Yhmpu5000034875&Tetrapisispora&Fleetii	3 (3)	4	1.33	1 (0)	1	1.0	20	0.0172414
Naumovozyma&Castellii	4 (3)	8	2.0	0 (0)	0	0	20	0.0402299
