# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
gain	6	N4	0.09654	0.2155	0.1023	3	0.3077	0.3098
gain	6	N8	0.102	0.3178	7.569e-08	2	0.0503	0.05061
loss	6	N9	0.08611	0.4039	0.162	2	0.1418	0.1425
gain	6	N10	0.09368	0.4976	0.06827	3	0.07359	0.07402
loss	6	N10	0.09368	0.4976	0.06827	3	0.0617	0.06205
gain	6	N12	0.05066	0.5631	0.002765	2	0.109	0.1092
loss	6	Yersinia_pestis	0.2301	0.7426	0	1	0.906	0.9415
gain	6	N15	0.8811	1.379	1.882e-11	2	0.4175	0.4946
loss	6	N15	0.8811	1.379	1.882e-11	2	0.9511	1.38
gain	6	Vibrio_cholerae	0.2741	0.6781	0	1	0.06385	0.06512
loss	6	Vibrio_cholerae	0.2741	0.6781	0	1	0.8899	0.9388
gain	6	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.1743	0.1849
loss	6	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.9824	1.159
gain	6	N17	1.124	1.34	0.001039	2	0.5392	0.6902
loss	6	N17	1.124	1.34	0.001039	2	0.992	1.664
gain	6	Ralstonia_solanacearum	0.1671	0.3829	0	1	0.09182	0.09309
loss	6	Ralstonia_solanacearum	0.1671	0.3829	0	1	0.06636	0.06708
loss	6	N20	0.09521	0.4427	0.03546	2	0.848	0.8538
loss	6	Agrobacterium_tumefaciens_Cereon	0.1172	0.5599	0	1	0.1224	0.1235
loss	6	Sinorhizobium_meliloti	0.03546	0.4781	0	1	0.09944	0.09953
gain	6	Brucella_melitensis	0.3466	0.6941	0	1	0.0909	0.09357
loss	6	Brucella_melitensis	0.3466	0.6941	0	1	0.9523	1.035
gain	6	Mesorhizobium_loti	0.03647	0.384	0	1	0.06153	0.06159
gain	6	Caulobacter_vibrioides	0.1842	0.487	0	1	0.1146	0.1166
loss	6	Caulobacter_vibrioides	0.1842	0.487	0	1	0.08011	0.08118
gain	6	N22	1.46	1.676	4.898e-06	2	0.6893	1.004
loss	6	N22	1.46	1.676	4.898e-06	2	0.9947	1.977
gain	6	N23	0.8467	2.523	2.697e-11	2	0.5507	0.678
loss	6	N23	0.8467	2.523	2.697e-11	2	0.5507	0.6781
gain	6	N25	1.647	1.787	0.4354	2	0.83	1.437
loss	6	N25	1.647	1.787	0.4354	2	0.9398	1.871
gain	6	Fusobacterium_nucleatum	1.445	3.232	0	1	0.7659	1.19
loss	6	Fusobacterium_nucleatum	1.445	3.232	0	1	0.8432	1.433
gain	6	N26	0.1288	1.916	0.3067	2	0.1006	0.1017
loss	6	N26	0.1288	1.916	0.3067	2	0.1299	0.1314
gain	6	Aquifex_aeolicus	2.838	4.754	0	1	0.9607	2.53
loss	6	Aquifex_aeolicus	2.838	4.754	0	1	0.9723	2.744
gain	6	Thermotoga_maritima	0.3067	2.222	0	1	0.1346	0.139
loss	6	Thermotoga_maritima	0.3067	2.222	0	1	0.334	0.353
gain	6	N27	0.05299	0.193	0.2036	2	0.05245	0.05255
loss	6	N27	0.05299	0.193	0.2036	2	0.05324	0.05335
gain	6	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.1437	0.1502
loss	6	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.7487	0.827
gain	6	N28	0.2036	0.3966	8.132e-08	2	0.3907	0.4019
loss	6	N28	0.2036	0.3966	8.132e-08	2	0.07754	0.07873
loss	6	Synechocystis_sp__PCC6803	0.2034	0.6	0	1	1	1.031
loss	6	N29	0.08048	0.1994	0.08246	2	0.4211	0.4231
gain	6	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.1655	0.1727
loss	6	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.4174	0.4497
loss	6	N30	0.08246	0.2819	2.435e-11	2	0.2875	0.2889
gain	6	N31	0.3418	0.3418	0.174	2	0.2943	0.3128
loss	6	N31	0.3418	0.3418	0.174	2	0.3956	0.4233
loss	6	Clostridium_acetobutylicum	0.174	0.5158	0	1	0.4482	0.4579
gain	6	N32	0.1448	0.4867	0.1437	3	0.397	0.4031
loss	6	N32	0.1448	0.4867	0.1437	3	0.05574	0.05634
gain	6	Listeria_innocua	0.243	0.7296	0	1	0.05797	0.05896
loss	6	Listeria_innocua	0.243	0.7296	0	1	0.7857	0.8195
gain	6	N35	0.1284	0.6151	0.01528	2	0.2044	0.2068
loss	6	N35	0.1284	0.6151	0.01528	2	0.05433	0.0548
loss	6	Bacillus_halodurans	0.1233	0.7384	0	1	0.9153	0.9258
gain	6	Bacillus_subtilis	0.01528	0.6304	0	1	0.08791	0.08793
gain	6	Staphylococcus_aureus_N315	0.1437	0.6304	0	1	0.2774	0.2814
gain	6	N36	0.675	1.162	0.09281	2	0.3164	0.3553
loss	6	N36	0.675	1.162	0.09281	2	0.8631	1.104
loss	7	N2	0.1189	0.1189	0.1629	3	0.2282	0.2285
gain	7	N15	0.8811	1.379	1.882e-11	2	0.1096	0.117
loss	7	N15	0.8811	1.379	1.882e-11	2	0.1141	0.1222
gain	7	Vibrio_cholerae	0.2741	0.6781	0	1	0.9745	0.9801
gain	7	N17	1.124	1.34	0.001039	2	0.1555	0.1708
loss	7	N17	1.124	1.34	0.001039	2	0.1558	0.1712
gain	7	N22	1.46	1.676	4.898e-06	2	0.2177	0.2494
loss	7	N22	1.46	1.676	4.898e-06	2	0.218	0.2499
gain	7	N23	0.8467	2.523	2.697e-11	2	0.1039	0.1105
loss	7	N23	0.8467	2.523	2.697e-11	2	0.1039	0.1105
gain	7	N25	1.647	1.787	0.4354	2	0.8311	0.9525
loss	7	N25	1.647	1.787	0.4354	2	0.1887	0.2235
gain	7	Fusobacterium_nucleatum	1.445	3.232	0	1	0.4362	0.5172
loss	7	Fusobacterium_nucleatum	1.445	3.232	0	1	0.2501	0.2855
gain	7	N26	0.1288	1.916	0.3067	2	0.0621	0.06224
gain	7	Aquifex_aeolicus	2.838	4.754	0	1	0.33	0.4506
loss	7	Aquifex_aeolicus	2.838	4.754	0	1	0.9228	1.265
gain	7	Thermotoga_maritima	0.3067	2.222	0	1	0.2009	0.2036
gain	7	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.9463	0.9573
loss	7	N28	0.2036	0.3966	8.132e-08	2	0.06474	0.06503
gain	7	N31	0.3418	0.3418	0.174	2	0.7303	0.7368
gain	7	N36	0.675	1.162	0.09281	2	0.101	0.1064
loss	7	N36	0.675	1.162	0.09281	2	0.1007	0.1061
gain	8	N2	0.1189	0.1189	0.1629	3	0.264	0.2645
gain	8	N15	0.8811	1.379	1.882e-11	2	0.2318	0.2502
loss	8	N15	0.8811	1.379	1.882e-11	2	0.2289	0.2466
loss	8	Vibrio_cholerae	0.2741	0.6781	0	1	0.9817	0.9899
gain	8	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.08933	0.09215
loss	8	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.08925	0.09206
gain	8	N17	1.124	1.34	0.001039	2	0.3303	0.3683
loss	8	N17	1.124	1.34	0.001039	2	0.3302	0.3682
gain	8	N22	1.46	1.676	4.898e-06	2	0.4576	0.5378
loss	8	N22	1.46	1.676	4.898e-06	2	0.4575	0.5377
gain	8	N23	0.8467	2.523	2.697e-11	2	0.07172	0.07519
loss	8	N23	0.8467	2.523	2.697e-11	2	1	1.075
gain	8	N25	1.647	1.787	0.4354	2	0.2679	0.3153
loss	8	N25	1.647	1.787	0.4354	2	0.9203	1.141
gain	8	Fusobacterium_nucleatum	1.445	3.232	0	1	0.2805	0.3215
loss	8	Fusobacterium_nucleatum	1.445	3.232	0	1	0.4115	0.4836
loss	8	N26	0.1288	1.916	0.3067	2	0.05486	0.05499
gain	8	Aquifex_aeolicus	2.838	4.754	0	1	0.971	1.529
loss	8	Aquifex_aeolicus	2.838	4.754	0	1	0.4727	0.6581
loss	8	Thermotoga_maritima	0.3067	2.222	0	1	0.1527	0.1545
loss	8	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.974	0.9903
loss	8	Synechocystis_sp__PCC6803	0.2034	0.6	0	1	1	1.005
loss	8	N31	0.3418	0.3418	0.174	2	0.6297	0.6373
loss	8	Clostridium_acetobutylicum	0.174	0.5158	0	1	0.1344	0.135
loss	8	Listeria_innocua	0.243	0.7296	0	1	0.1266	0.1278
gain	8	N35	0.1284	0.6151	0.01528	2	0.8829	0.8844
loss	8	Staphylococcus_aureus_N315	0.1437	0.6304	0	1	0.1172	0.1176
gain	8	N36	0.675	1.162	0.09281	2	0.09761	0.1016
loss	8	N36	0.675	1.162	0.09281	2	0.2008	0.2124
gain	9	N2	0.1189	0.1189	0.1629	3	0.307	0.3083
loss	9	N9	0.08611	0.4039	0.162	2	0.08877	0.089
gain	9	N12	0.05066	0.5631	0.002765	2	0.07657	0.07664
loss	9	Yersinia_pestis	0.2301	0.7426	0	1	0.9286	0.9418
gain	9	N15	0.8811	1.379	1.882e-11	2	0.1748	0.1955
loss	9	N15	0.8811	1.379	1.882e-11	2	0.9461	1.116
loss	9	Vibrio_cholerae	0.2741	0.6781	0	1	0.9222	0.9406
gain	9	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.1976	0.2111
loss	9	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.197	0.2105
gain	9	N17	1.124	1.34	0.001039	2	0.2363	0.2768
loss	9	N17	1.124	1.34	0.001039	2	0.9998	1.276
loss	9	Brucella_melitensis	0.3466	0.6941	0	1	0.9993	1.032
gain	9	N22	1.46	1.676	4.898e-06	2	0.3336	0.4211
loss	9	N22	1.46	1.676	4.898e-06	2	0.9998	1.42
gain	9	N23	0.8467	2.523	2.697e-11	2	0.2724	0.3088
loss	9	N23	0.8467	2.523	2.697e-11	2	0.2724	0.3088
gain	9	N25	1.647	1.787	0.4354	2	0.4515	0.6158
loss	9	N25	1.647	1.787	0.4354	2	0.9546	1.415
gain	9	Fusobacterium_nucleatum	1.445	3.232	0	1	0.4525	0.5844
loss	9	Fusobacterium_nucleatum	1.445	3.232	0	1	0.5698	0.7693
loss	9	N26	0.1288	1.916	0.3067	2	0.07853	0.07897
gain	9	Aquifex_aeolicus	2.838	4.754	0	1	0.7487	1.326
loss	9	Aquifex_aeolicus	2.838	4.754	0	1	0.795	1.476
gain	9	Thermotoga_maritima	0.3067	2.222	0	1	0.0545	0.05567
loss	9	Thermotoga_maritima	0.3067	2.222	0	1	0.1995	0.2053
gain	9	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.1408	0.1476
loss	9	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.1223	0.1272
gain	9	N28	0.2036	0.3966	8.132e-08	2	0.05506	0.056
loss	9	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.9768	1.01
gain	9	N31	0.3418	0.3418	0.174	2	0.05689	0.05871
loss	9	N31	0.3418	0.3418	0.174	2	0.6585	0.6776
loss	9	Clostridium_acetobutylicum	0.174	0.5158	0	1	0.09249	0.09346
loss	9	N32	0.1448	0.4867	0.1437	3	0.07817	0.07872
loss	9	Listeria_innocua	0.243	0.7296	0	1	0.0536	0.05465
gain	9	Bacillus_halodurans	0.1233	0.7384	0	1	0.9706	0.9747
gain	9	N36	0.675	1.162	0.09281	2	0.2036	0.2226
loss	9	N36	0.675	1.162	0.09281	2	0.2125	0.2337
loss	10	N2	0.1189	0.1189	0.1629	3	0.05029	0.05063
loss	10	N4	0.09654	0.2155	0.1023	3	0.07722	0.07764
gain	10	N9	0.08611	0.4039	0.162	2	0.1919	0.1924
gain	10	N10	0.09368	0.4976	0.06827	3	0.5916	0.5931
gain	10	N11	0.01484	0.5125	0.05343	2	0.1466	0.1466
gain	10	N12	0.05066	0.5631	0.002765	2	0.08252	0.08261
gain	10	Yersinia_pestis	0.2301	0.7426	0	1	0.1263	0.1288
gain	10	N15	0.8811	1.379	1.882e-11	2	0.1991	0.228
loss	10	N15	0.8811	1.379	1.882e-11	2	0.8355	1.001
loss	10	Vibrio_cholerae	0.2741	0.6781	0	1	0.2282	0.2346
gain	10	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.143	0.1527
loss	10	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.1495	0.1605
gain	10	N17	1.124	1.34	0.001039	2	0.3676	0.4604
loss	10	N17	1.124	1.34	0.001039	2	0.3714	0.4683
gain	10	Brucella_melitensis	0.3466	0.6941	0	1	0.08007	0.08276
loss	10	Brucella_melitensis	0.3466	0.6941	0	1	0.08122	0.08401
gain	10	N22	1.46	1.676	4.898e-06	2	0.4635	0.6368
loss	10	N22	1.46	1.676	4.898e-06	2	0.4661	0.6448
gain	10	N23	0.8467	2.523	2.697e-11	2	1	1.185
loss	10	N23	0.8467	2.523	2.697e-11	2	0.1649	0.1852
gain	10	N25	1.647	1.787	0.4354	2	0.5579	0.8338
loss	10	N25	1.647	1.787	0.4354	2	0.5081	0.7527
gain	10	Fusobacterium_nucleatum	1.445	3.232	0	1	0.4396	0.5953
loss	10	Fusobacterium_nucleatum	1.445	3.232	0	1	0.524	0.7486
loss	10	N26	0.1288	1.916	0.3067	2	0.07021	0.07072
gain	10	Aquifex_aeolicus	2.838	4.754	0	1	0.6947	1.332
loss	10	Aquifex_aeolicus	2.838	4.754	0	1	0.7264	1.461
gain	10	Thermotoga_maritima	0.3067	2.222	0	1	0.05862	0.06011
loss	10	Thermotoga_maritima	0.3067	2.222	0	1	0.1821	0.1889
gain	10	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.09146	0.09515
loss	10	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.1437	0.1526
loss	10	N28	0.2036	0.3966	8.132e-08	2	0.08599	0.08782
gain	10	N29	0.08048	0.1994	0.08246	2	0.263	0.2636
gain	10	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.064	0.06599
loss	10	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.3804	0.3991
gain	10	N30	0.08246	0.2819	2.435e-11	2	0.6699	0.671
gain	10	N31	0.3418	0.3418	0.174	2	0.08937	0.09296
loss	10	N31	0.3418	0.3418	0.174	2	0.1456	0.1527
loss	10	Clostridium_acetobutylicum	0.174	0.5158	0	1	0.05317	0.05397
loss	10	Listeria_innocua	0.243	0.7296	0	1	0.05169	0.05279
gain	10	N36	0.675	1.162	0.09281	2	0.2103	0.234
loss	10	N36	0.675	1.162	0.09281	2	0.2138	0.2388
gain	11	N2	0.1189	0.1189	0.1629	3	0.3348	0.3381
gain	11	N4	0.09654	0.2155	0.1023	3	0.05131	0.05161
loss	11	N4	0.09654	0.2155	0.1023	3	0.05068	0.05096
gain	11	N8	0.102	0.3178	7.569e-08	2	0.08093	0.08147
loss	11	N9	0.08611	0.4039	0.162	2	0.1363	0.137
gain	11	N10	0.09368	0.4976	0.06827	3	0.0695	0.06989
loss	11	N10	0.09368	0.4976	0.06827	3	0.05848	0.05881
gain	11	N12	0.05066	0.5631	0.002765	2	0.1056	0.1058
loss	11	Yersinia_pestis	0.2301	0.7426	0	1	0.9083	0.9415
gain	11	N15	0.8811	1.379	1.882e-11	2	0.3925	0.4638
loss	11	N15	0.8811	1.379	1.882e-11	2	0.9506	1.353
gain	11	Vibrio_cholerae	0.2741	0.6781	0	1	0.05967	0.06084
